file,page,engine,depth_m,pressure_kgcm2,line
"Tecolutla-6 Static Gradient Sep 6, 1971.pdf",1,rapidocr,662,140.1,1000 662 140.1 40.0 0800 NIVELAGUA 1930 m | 1500 842 178
"Tecolutla-6 Static Gradient Sep 6, 1971.pdf",1,rapidocr,842,178.3,1500 842 178.3 38.2 .0763 TIEMPO CERRADO 35 DIAS | 1930 
"Tecolutla-6 Static Gradient Sep 6, 1971.pdf",1,rapidocr,997,211.1,1930 997 211.1 32.8 .0763 TEMPERATURA BOCAPOZO 32 ℃ | 21
"Tecolutla-6 Static Gradient Sep 6, 1971.pdf",1,rapidocr,1085,229.7,2130 1085 229.7 18.6 .0930 TEMPERATURA MAXIMA 6 C | 2330 
"Tecolutla-6 Static Gradient Sep 6, 1971.pdf",1,rapidocr,1181,250.0,2330 1181 250.0 20.3 .1015 INSTRUMENTO 19359-N | Kg/cm? | M
"Tecolutla-6 Static Gradient Sep 8, 1971.pdf",1,tesseract,2337,252.0, plg | 2337 252.0 | NIV.MED.PERP.|.1025 | SRADIENTE YACIM
"Tecolutla-6 Static Gradient Sep 8, 1971.pdf",1,rapidocr,393,83.2,²/m) | 393 83.2 PRESIONT.P. 83.2 Kg/cm? | 88.1 4.9 .0196 
"Tecolutla-6 Static Gradient Sep 8, 1971.pdf",1,rapidocr,476,100.8, | 500 476 100.8 12.7 .0508 NIVEL ACEITE 383 m | 1000 679 
"Tecolutla-6 Static Gradient Sep 8, 1971.pdf",1,rapidocr,679,143.7,1000 679 143.7 42.9 .0858 NIVELAGUA 2063 m | 1500 851 18
"Tecolutla-6 Static Gradient Sep 8, 1971.pdf",1,rapidocr,851,180.2,1500 851 180.2 32.2 .0644 TIEMPO CERRADO 37afas | 1930 1
"Tecolutla-6 Static Gradient Sep 8, 1971.pdf",1,rapidocr,1009,213.6,1930 1009 213.6 33.4 0776 TEMPERATURA BOCA POZO 29 °C | 2
"Tecolutla-6 Static Gradient Sep 8, 1971.pdf",1,rapidocr,1090,230.8,2130 1090 230.8 17.2 .0860 TEMPERATURA MAXIMA 294℃ | 2330
"Tecolutla-6 Static Gradient Sep 8, 1971.pdf",1,rapidocr,1187,251.3,2330 1187 251.3 20.5 .1025 INSTRUMENTO N-65565 | Kg/cm? | M
"Tecolutla-6 Static Gradient Sep 8, 1971.pdf",1,rapidocr,2337,252.0,.plg | 2337 252.0 .1025 GRADIENTEYACIMIENTO Kg/cm2/m | NIV.
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",1,rapidocr,0,60.9,M2/M | 0 60.9 PRESIONT.R 60.04E/cmd | 250 81.8 20.9 0.0
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",1,rapidocr,250,81.8,/cmd | 250 81.8 20.9 0.0330 PRESION T.P. 5'09 18/0r2 | 50
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",1,rapidocr,500,102.4,/0r2 | 500 102.4 20.6 0.0824 NIVEL ACEITE | 145.3 40.9 BTF
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",1,rapidocr,1500,182.9,O 95 | 1500 182.9 | 221.8 18.9 1390. | 2000 0.0778 TEMPERATUR
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",1,rapidocr,2336,253.78,REG. | 2336 253.78 iy..o.ar 0.0530 VARIACION PRES.FONDO | 0.
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",1,rapidocr,2310,252.0,314. | 2310 252.00 0.0840 T.R. | CIMA FORMACION PROD. | BASE F
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",3,rapidocr,0,60.9,M2/M | 0 60.9 PRESION T.R 2.5/m2 | 250 A1.8 20.9 0.0836
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",3,rapidocr,1000,143.3,0.0m | 1000 143.3 40N9 0.0518 NIVELAGUA 2045.0 | 1500 182.9
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",3,rapidocr,1500,182.9,45.0 | 1500 182.9 59.6 0.0742 TTEMPOCERRADO72di | 2000 221.
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",3,rapidocr,2000,221.8,72di | 2000 221.8 36.9 0.0278 TEMPERATURA BOCAPOZO 2590. | 
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",3,rapidocr,2230,243.3,590. | 2230 243.3 0.0939 TEM.MAX.DEFONDO 1000 | 21:6 | 2280 2
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",3,rapidocr,2280,248.3,21:6 | 2280 248.3 4号 0.0980 ELEV.MESA ROTARIA 4.30m. | 2330
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",3,rapidocr,2335,253.69,/DIA | 2335 253.69 slv.Sup. Perf 0.0940 INSTRUMENT0-1812O-
"Tecolutla-7 Static Gradient Dec 8, 1964.pdf",3,rapidocr,2310,252.0,37.0 | 2310 252.00 0.0840 | T.R 6-5/92306.65m | CIMAFORMACIONP
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,tesseract,236,49.523,"mi | 0 236 49.523 0,000 0.0000 ue | 500 312 65,471 15,948 0"
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,tesseract,312,65.471," | 500 312 65,471 15,948 0,0315 pd | 1000 558 117.093 51.52"
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,tesseract,558,117.093,1000 558 117.093 51.521 0.1032 e | 1500 738 167.455 50-362
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,tesseract,738,167.455,"1500 738 167.455 50-362 0.1007 , j | 2125 1103 231.457 64."
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,tesseract,1103,231.457,2125 1103 231.457 64.002 0.1974 E | 3225 1152 241.740 10-28
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,tesseract,1152,241.74,"3225 1152 241.740 10-282 0,1028 | 2325 1202 252.232 10,492 "
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,tesseract,1202,252.232,"2325 1202 252.232 10,492 0,1049 | a | am Wy Mi “Bi oo | 2311.5 "
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,tesseract,0,250.534,"11.5 0 250.534 8,894 0.1028 y ' | REGISTRO : ENRIQUE DOR"
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,rapidocr,236,49.523,w/b) | 236 49.523 0.000 00000 | 500 312 65.471 15.948 0.031
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,rapidocr,312,65.471, | 500 312 65.471 15.948 0.0319 | 1000 558 117.093 51.621 0
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,rapidocr,558,117.093,1000 558 117.093 51.621 0.1032 | 1500 798 167.455 50.362 0
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,rapidocr,798,167.455,1500 798 167.455 50.362 0.1007 | 2125 1103 231.457 64.002 
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,rapidocr,1103,231.457,2125 1103 231.457 64.002 V2010 | 2225 1152 241.740 10.282 8
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,rapidocr,1152,241.74,2225 1152 241.740 10.282 82010 | 2325 1202 252.232 10.492 0
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,rapidocr,1202,252.232,2325 1202 252.232 10.492 0.1049 | N.M.P. | 2311.5 0 250.534 8
"Tecolutla-7 Static Gradient Oct 6, 1998.pdf",1,rapidocr,0,250.534,11.5 0 250.534 8.894 0.1028 | REGISTRO ENRIQUE DORANTES 
