file,page,engine,depth_m,pressure_kgcm2,line
"Tecolutla-6 Static Gradient Aug 17, 1971.pdf",1,rapidocr,447,94.6, | 500 447 94.6 11.6 .0464 NIVEL ACEITE 368 | m | 1000 635 
"Tecolutla-6 Static Gradient Aug 17, 1971.pdf",1,rapidocr,635,134.4,1000 635 134.4 39.8 .0796 NIVEL AGUA 1930 | m | 1500 816 1
"Tecolutla-6 Static Gradient Aug 17, 1971.pdf",1,rapidocr,816,172.7,1500 816 172.7 38.3 .0766 TIEMPO CERRADO 15 DIAS | 1930 
"Tecolutla-6 Static Gradient Aug 17, 1971.pdf",1,rapidocr,978,207.0,1930 978 207.0 34.3 .0798 TEMPERATURABOCAPOZO 36C | 2130
"Tecolutla-6 Static Gradient Aug 17, 1971.pdf",1,rapidocr,1075,227.6,2130 1075 227.6 20.6 .1030 TEMPERATURA MAXIMA 94℃ | 2330 
"Tecolutla-6 Static Gradient Aug 17, 1971.pdf",1,rapidocr,1171,247.9,2330 1171 247.9 20.3 .1015 INSTRUMENTO 19359- | Kg/cm? | MO
"Tecolutla-6 Static Gradient Aug 24, 1971.pdf",1,tesseract,402,65.1, | 250 402 65.1 ‘ 2.1 20084 PRESION TR SIN CONEX Kagem?
"Tecolutla-6 Static Gradient Aug 24, 1971.pdf",1,tesseract,2337,249.7,CAEN | 2337 249.7 |NIV.MED.PERP. | «1010 | crapiente YACI
"Tecolutla-6 Static Gradient Aug 24, 1971.pdf",1,rapidocr,392,83.0,m/m] | 392 83.0 83.0 | PRESION T.P. Kg/cm? | 250 402 85.1 2
"Tecolutla-6 Static Gradient Aug 24, 1971.pdf",1,rapidocr,402,85.1, | 250 402 85.1 2.1 .0084 SIN CONEK | PRESION T.R. Kg/cm?
"Tecolutla-6 Static Gradient Aug 24, 1971.pdf",1,rapidocr,465,98.4, | 500 465 98.4 13.3 .0532 342 | NIVEL ACEITE m | 1000 652 
"Tecolutla-6 Static Gradient Aug 24, 1971.pdf",1,rapidocr,652,138.0,1000 652 138.0 39.6 .0792 1930 | NIVEL AGUA m | OO5T 833 1
"Tecolutla-6 Static Gradient Aug 24, 1971.pdf",1,rapidocr,833,176.3,OO5T 833 176.3 38.3 .0766 22 DTAS | TIEMPO CERRADO | 1930 
"Tecolutla-6 Static Gradient Aug 24, 1971.pdf",1,rapidocr,985,208.5,1930 985 208.5 32.2 .0891 32 | TEMPERATURA BOCAPOZO C | 21
"Tecolutla-6 Static Gradient Aug 24, 1971.pdf",1,rapidocr,1081,228.8,2130 1081 228.8 20.3 .1015 94 | TEMPERATURA MAXIMA C | 2330
"Tecolutla-6 Static Gradient Aug 24, 1971.pdf",1,rapidocr,1176,249.0,2330 1176 249.0 20.2 .1010 19359-N | INSTRUMENTO | Kq/cm? | M
"Tecolutla-6 Static Gradient Aug 28, 1971.pdf",1,tesseract,2337,250.1,""" eu | 2337 250.1 | RIV.MEDLPERF. (,1005 | orabiente YACI"
"Tecolutla-6 Static Gradient Aug 28, 1971.pdf",1,rapidocr,393,83.2,m） | 0 393 83.2 PRESION T.P. 83.2 Kg/cm? | 250 403 85.3 2
"Tecolutla-6 Static Gradient Aug 28, 1971.pdf",1,rapidocr,403,85.3, | 250 403 85.3 2.1 .0084 SIN CONEX Kg/cm? | PRESION T.R.
"Tecolutla-6 Static Gradient Aug 28, 1971.pdf",1,rapidocr,658,139.3,1000 658 139.3 39.4 .0788 NIVEL AGUA 1945m | 1500 839 17
"Tecolutla-6 Static Gradient Aug 28, 1971.pdf",1,rapidocr,839,177.6,1500 839 177.6 38.3 0766 TIEMPO CERRADO 26 DIAS | 1930 9
"Tecolutla-6 Static Gradient Aug 28, 1971.pdf",1,rapidocr,990,209.6,1930 990 209.6 32.0 0744 TEMPERATURA BOCAPOZO | 2130 108
"Tecolutla-6 Static Gradient Aug 28, 1971.pdf",1,rapidocr,1083,229.3,2130 1083 229.3 19.7 .0985 TEMPERATURA MAXIMA 94℃ | 2330 
"Tecolutla-6 Static Gradient Aug 28, 1971.pdf",1,rapidocr,1178,249.4,2330 1178 249.4 2011 1005 INSTRUMENTO 19359-N | Kg/cm | MOD
"Tecolutla-6 Static Gradient Aug 28, 1971.pdf",1,rapidocr,2337,250.1,·plg | 2337 250.1 NIV.MEDIPERF. 1005 Kg/cm²/m | GRADIENTE Y
"Tecolutla-6 Static Gradient Aug 6, 1971.pdf",1,tesseract,350,74.1, | O | 350 74.1 PRESION T. P. Thel Kg/em? | 250 359 76.0|
"Tecolutla-6 Static Gradient Aug 6, 1971.pdf",1,tesseract,359,76.0," | 250 359 76.0| . 1,9 00076 | presion 2° SIN CONEX kg/"
"Tecolutla-6 Static Gradient Aug 6, 1971.pdf",1,tesseract,2337,240.3,70 o | 2337 240.3 /HIV.MED.PERF. | -1005 GRADIENTE YACIMI
"Tecolutla-6 Static Gradient Aug 6, 1971.pdf",1,rapidocr,350,74.1,m） | 0 350 74.1 74.1 | PRESIONT.P. Kg/cm? | 250 359 76.0 1.
"Tecolutla-6 Static Gradient Aug 6, 1971.pdf",1,rapidocr,359,76.0, | 250 359 76.0 1.9 .0076 | PRESIONT.R SIN CONEX Kg/cm? | 5
"Tecolutla-6 Static Gradient Aug 6, 1971.pdf",1,rapidocr,378,80.0, | 500 378 80.0 4.0 0160 471m | NIVEL ACEITE | 1000 568 120
"Tecolutla-6 Static Gradient Aug 6, 1971.pdf",1,rapidocr,568,120.2,1000 568 120.2 40.2 0804 1722m | NIVEL AGUA | 1500 751 159
"Tecolutla-6 Static Gradient Aug 6, 1971.pdf",1,rapidocr,751,159.0,1500 751 159.0 38.8 .0776 4DIAS | TIEMPO CERRADO | 1930 94
"Tecolutla-6 Static Gradient Aug 6, 1971.pdf",1,rapidocr,942,199.4,1930 942 199.4 40.4 0940 30℃ | TEMPERATURA BOCAPOZO | 2130
"Tecolutla-6 Static Gradient Aug 6, 1971.pdf",1,rapidocr,1037,219.5,2130 1037 219.5 20.1 .1005 94℃ | TEMPERATURA MAXIMA | 2330 
"Tecolutla-6 Static Gradient Aug 6, 1971.pdf",1,rapidocr,1132,239.6,2330 1132 239.6 20.1 .1005 | INSTRUMENTO 19359-N | Kg/cm2 | M
"Tecolutla-6 Static Gradient Aug 6, 1971.pdf",1,rapidocr,2337,240.3,-plg | 2337 240.3 NIV.MED.PERF. .1005 | GRADIENTEYACIMIENTO
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,tesseract,469,77.3,"} |  | 0 469 77.3 PRESION T, P, 1.3 Cate | 250 375 79.4 : 2"
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,tesseract,375,79.4, | 250 375 79.4 : 2.1 0084 | PRESION T. Rk. SIN ocomex 
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,tesseract,406,86.0, | 500 406 86.0 6.6 90264 | NIVEL ACEITE 431 7 |  | 1000 59
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,tesseract,178,164.7,1500 178 164.7 38.5 sO7T70 TIEMPO CERRADO: 7 DIAS | 1930
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,tesseract,2337,244.6," plg | 2337 244.6 |NIY.MED. PERF, +1015 | SRADIENTE YACIM"
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,rapidocr,369,77.3,2/m） | 369 77.3 PRESION T.P. 77.3 Kg/cm2 | 250 375 79.4 2
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,rapidocr,375,79.4, | 250 375 79.4 2.1 0084 PRESION T.R. SIH 0onxKg/cm2 | 50
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,rapidocr,406,86.0, | 500 406 86.0 6.6 .0264 NIVELACEITE 437 m | 1000 596 12
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,rapidocr,596,126.2,1000 596 126.2 40.2 .804 NIVEL AGUA 1696 m | 1500 778 16
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,rapidocr,778,164.7,1500 778 164.7 38.5 .0770 TIEMPOCERRADO 7DIAS | 1930 961
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,rapidocr,4,38.7, 203-4 38.7 0900 TEMPERATURABOCAPOZO 29 | 2130 1056 2
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,rapidocr,1056,223.6,2130 1056 223.6 20.2 .1010 TEMPERATURA MAXIMA 95 °C | 233
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,rapidocr,1152,243.9,2330 1152 243.9 20.3 2015 INSTRUMENTO 19359- | Kg/cm? | MOD
"Tecolutla-6 Static Gradient Aug 9, 1971.pdf",1,rapidocr,2337,244.6,70 . | 2337 244.6 NZV.NED.PERF. .1015 GRADIENTE YACIMIENT
"Tecolutla-6 Static Gradient Dec 2, 1964.pdf",1,rapidocr,500,65.2,s/a. | 500 65.2 23.0 0.0460 PRESIONT.P.42.2K/2 | 1000 95.
"Tecolutla-6 Static Gradient Dec 2, 1964.pdf",1,rapidocr,1000,95.8,2K/2 | 1000 95.8 30.6 0.0612 NIVEL ACEITE | 1500 131-1 35.
"Tecolutla-6 Static Gradient Dec 2, 1964.pdf",1,rapidocr,1,35.3, 131-1 35.3 0.0796 NIVELAGUA | 2000 158.1 70 0.0740 T
"Tecolutla-6 Static Gradient Dec 2, 1964.pdf",1,rapidocr,2000,158.1,AGUA | 2000 158.1 70 0.0740 TIEMPO CERRADO | 2230 185.5 27.
"Tecolutla-6 Static Gradient Dec 2, 1964.pdf",1,rapidocr,2230,185.5,RADO | 2230 185.5 27.4 0.0756 TEMPERATURA BOCA POZO | 2280 
"Tecolutla-6 Static Gradient Dec 2, 1964.pdf",1,rapidocr,2280,189.3,POZO | 2280 189.3 3.8 0.0760 TEM.MAX.DE FONDO 100° | 193.1 
"Tecolutla-6 Static Gradient Dec 2, 1964.pdf",1,rapidocr,2337,293.63,REG. | 2337 293.63 Rivol Hedio Perf 0.0760 PRESION ULTIMO 
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,tesseract,1194,169.1,"35 - 1194 169.1 - FLUYENDO ESPONTANEO | lo. "" 14:55 - 120"
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,tesseract,1206,170.8,"55 - 1206 170.8 1.7 "" "" | to. "" 15:00 0:00 1219 172.6 - C"
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,tesseract,1219,172.6,0:00 1219 172.6 - CERRADO | lo. * 21:00 5100 1348 190.9 1
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,tesseract,1348,190.9,"5100 1348 190.9 19.3 "" | Zo. "" 3;00 12100 1424 20106 10<7"
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,tesseract,1474,208.7,"8:00 1474 208.7 Fel "" | EL 15:00 24:00 1506 213.2 hs "" | 2s"
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,tesseract,1506,213.2,"4:00 1506 213.2 hs "" | 2s 21100 30:00 1527 216.2 3.0 "" | 3 "
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,tesseract,1527,216.2,"0:00 1527 216.2 3.0 "" | 3 « 3:00 36:00 1546 219.9 3.7 "" | 3"
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,tesseract,1546,219.9,"6:00 1546 219.9 3.7 "" | 3 ” 9:00 42:00 1566 221.7 1.8 $“ | "
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,tesseract,1566,221.7,"2:00 1566 221.7 1.8 $“ | 3 "" 15:00 48:00 1585 22464 2.7 $"
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,tesseract,1605,227.3,"4100 1605 227.3 2.9 "" | Bb oon 3:00 60:00 1620 22964 201 "
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,tesseract,1535,231.5,"6:00 1535 231.5 2.1 u | h on 11:30 66330 1640 232.2 0-7 """
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,tesseract,1640,232.2,"6330 1640 232.2 0-7 "" | "
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1194,169.1,4:35 1194 169.1 FLUYENDO ESPONTANEO | 10. 14:55 1206 170.
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1206,170.8,4:55 1206 170.8 1.7 I1 | 10. 15:00 0:00 1219 172.6 CERRAD
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1219,172.6,0:00 1219 172.6 CERRADO | 10 21:00 6:00 1348 190.9 18.3 | 2
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1348,190.9,6:00 1348 190.9 18.3 | 20 12:00 1424 201.6 10.? | 2 9:00 18
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1424,201.6,2:00 1424 201.6 10.? | 2 9:00 18:00 1474 208.7 7.1 | 2 15:0
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1474,208.7,8:00 1474 208.7 7.1 | 2 15:00 24:00 1506 213.2 4。5 | 2 21:0
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1506,213.2,4:00 1506 213.2 4。5 | 2 21:00 30:00 1527 216.2 3.0 | 3 3:00
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1527,216.2,0:00 1527 216.2 3.0 | 3 3:00 36:00 1546 219.9 3.7 | 3 00:6 
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1546,219.9,6:00 1546 219.9 3.7 | 3 00:6 42:00 1566 221.7 1:8 H | 3 15:
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1566,221.7,2:00 1566 221.7 1:8 H | 3 15:00 48:00 1585 224.4 2.7 | 3 # 
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1585,224.4,8:00 1585 224.4 2.7 | 3 # 21:00 54:00 1605 227.3 2.9 | 4 3:
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1605,227.3,4:00 1605 227.3 2.9 | 4 3:00 60:00 1620 229.4 2.1 | 4 9:00 
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1620,229.4,0:00 1620 229.4 2.1 | 4 9:00 66:00 1635 231.5 2.1 慧 | 4 11:
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1635,231.5,6:00 1635 231.5 2.1 慧 | 4 11:30 68:30 1640 232.2 0.7
"Tecolutla-6 Static Gradient Jun 4, 1973.pdf",1,rapidocr,1640,232.2,8:30 1640 232.2 0.7
"Tecolutla-6 Static Gradient Oct 18, 1971.pdf",1,tesseract,373,79.0,e: | 0 373 79.0 PRESION T. P. 79.0 kg/cm? | 250 | 383 | 8
"Tecolutla-6 Static Gradient Oct 18, 1971.pdf",1,tesseract,2337,251.6,"""Pla | 2337 251.6 INIV.MED.PERP, («1005 | SRADIENTE YACIM"
"Tecolutla-6 Static Gradient Oct 18, 1971.pdf",1,rapidocr,373,79.0,m） | 0 373 79.0 PRESION T.P. 79.0 Kg/cm7 | 250 383 81.1 2
"Tecolutla-6 Static Gradient Oct 18, 1971.pdf",1,rapidocr,383,81.1, | 250 383 81.1 2.1 .0084 PRESIONT.R. SIN CONEX Kg/cm? | 
"Tecolutla-6 Static Gradient Oct 18, 1971.pdf",1,rapidocr,500,100.3,/cm? | 500 100.3 19.2 0768 NIVEL ACEITE 217 | m | 1000 659 1
"Tecolutla-6 Static Gradient Oct 18, 1971.pdf",1,rapidocr,659,139.5,1000 659 139.5 39.2 .0784 NIVEL AGUA 1930 | m | 1500 842 1
"Tecolutla-6 Static Gradient Oct 18, 1971.pdf",1,rapidocr,842,188.3,1500 842 188.3 38.8 0776 | TIEMPO CERRADO 74DIAS | 1930 99
"Tecolutla-6 Static Gradient Oct 18, 1971.pdf",1,rapidocr,994,210.4,1930 994 210.4 32.1 .0747 TEMPERATURA BOCAPOZO 25°℃ | 21
"Tecolutla-6 Static Gradient Oct 18, 1971.pdf",1,rapidocr,1090,230.4,2130 1090 230.4 20.4 .1020 TEMPERATURA MAXIMA 100℃ | 2330
"Tecolutla-6 Static Gradient Oct 18, 1971.pdf",1,rapidocr,1185,250.9,2330 1185 250.9 20.4 .1005 INSTRUMENTO 19359-N | Kg/cm? | M
"Tecolutla-6 Static Gradient Oct 18, 1971.pdf",1,rapidocr,2337,251.6,-plg | 2337 251.6 NIV.MED.PERF. .1005 GRADIENTEYACIMIENTO
"Tecolutla-6 Static Gradient Sep 11, 1971.pdf",1,tesseract,402,85.1," | re) 402 85.1 PRESION T. P, 85.1 Kgvem? | 250 | 423 | 8"
"Tecolutla-6 Static Gradient Sep 11, 1971.pdf",1,tesseract,485,102.7,"00 | 485 102.7 13.2 ""0580 —|— 9 E-AcETE 366 "" | 1000 | 7"
"Tecolutla-6 Static Gradient Sep 11, 1971.pdf",1,tesseract,2337,252.7," ""=P | 2337 252.7 | NIV.MED.PERF. 1090 GRADIENT EST ACIMI"
"Tecolutla-6 Static Gradient Sep 11, 1971.pdf",1,rapidocr,402,85.1,m） | 0 402 85.1 PRESION T.P. 85.1 Kg/cm2 | 250 423 89.5 4
"Tecolutla-6 Static Gradient Sep 11, 1971.pdf",1,rapidocr,423,89.5, | 250 423 89.5 4.4 .0176 PRESION T.R. SIN CONEK. Kg/cm
"Tecolutla-6 Static Gradient Sep 11, 1971.pdf",1,rapidocr,485,102.7, | 500 485 102.7 13.2 .0528 NIVEL ACEITE 366 m | 1000 700 
