lon,lat,x_utm14n_m,y_utm14n_m
-97.0146553422986,20.44980339180418,707112.701171883,2262511.8819858795
-97.0160590653246,20.450901198522722,706964.7480468827,2262631.653470254
-97.01806845896182,20.452154386242064,706753.3867187579,2262767.8648960353
-97.01957549417693,20.453974546995756,706593.6914062581,2262967.4850132233
-97.02048505019995,20.45500305868454,706497.4042968834,2263080.211087442
-97.02187098544809,20.45574002911843,706351.7988281331,2263160.0592319737
-97.02249455358962,20.456256197821855,706286.0410156334,2263216.4220249425
-97.02372079807934,20.45716103055959,706156.8769531343,2263315.05776713
-97.02463937133798,20.45748964450318,706060.5878906343,2263350.2848179103
-97.02496904763217,20.458108527460375,706025.3613281337,2263418.3902866608
-97.02501539591869,20.45976356603946,706018.3164062593,2263601.5709507233
-97.02518375415598,20.460677578373957,705999.5292968827,2263702.554837442
-97.0251490519818,20.461631710208408,706001.876953134,2263808.2359897858
-97.0249584481611,20.462456796129484,706020.6640625087,2263899.8258335358
-97.02461110800942,20.46321646988878,706055.892578135,2263984.3707554103
-97.02341568602581,20.46341499897617,706180.3613281335,2264007.8556186925
-97.02165875764453,20.463522277341674,706363.5410156334,2264021.945950723
-97.02100777606664,20.463387601654997,706431.6464843816,2264007.855618692
-97.02024373413035,20.463294053356726,706511.4941406315,2263998.4615757237
-97.01856193601608,20.462808237925426,706687.6289062581,2263946.7955600983
-97.01746032880017,20.46271082952606,706802.7050781325,2263937.4015171304
-97.01591357959916,20.46222652522196,706964.7480468825,2263885.7350132237
-97.01364289438278,20.46203090216942,707201.9433593822,2263866.9474155675
-97.01130252635564,20.4620041435995,707446.1835937577,2263866.9474155665
-97.00988480613576,20.461987918789045,707594.136718757,2263866.947415567
-97.00849013011639,20.46192952484095,707739.7421875069,2263862.2506382237
-97.00573151658499,20.461176706782556,708028.6035156321,2263782.402493692
-97.00483438971875,20.46093308776738,708122.5429687577,2263756.5694858795
-97.00450314827312,20.46044142301986,708157.769531256,2263702.5548374415
-97.00336151065265,20.458222322255924,708279.8886718821,2263458.314114786
-97.00327670271878,20.457818333046713,708289.283203132,2263413.693509317
-97.00317211319505,20.45546266143493,708303.3750000073,2263153.013821817
-97.00309609939349,20.454380002591645,708312.7675781313,2263033.2418491603
-97.00279723156369,20.45138575456569,708347.9941406312,2262702.1080600983
-97.00260211313308,20.450810803397296,708369.1308593813,2262638.699368691
-97.00282053559387,20.449583048084918,708347.994140632,2262502.488431192
-97.00303975728812,20.448291666769336,708326.8593750071,2262359.2320835358
-97.00304852834905,20.447613000868365,708326.8593750051,2262284.08120463
-97.00344338152749,20.446663015908396,708286.9355468825,2262178.400052286
-97.00410742092727,20.445779753049603,708218.8300781322,2262079.7643100987
-97.0059094397735,20.445651938145016,708030.9511718815,2262063.3248569747
-97.00728528297307,20.445413170818863,707887.6953125066,2262035.1437046295
-97.00818367503037,20.44555072955948,707793.7578125068,2262049.234524942
-97.01009491881251,20.44567866035542,707594.1367187573,2262060.9767124425
-97.01285519926115,20.44628292839665,707305.2753906325,2262124.3854038483
-97.01391972522183,20.44750414376559,707192.5488281322,2262258.2477085358
-97.0144916676398,20.448528831030426,707131.4902343829,2262370.9742710353
-97.0146553422986,20.44980339180418,707112.701171883,2262511.8819858795
-97.0146553422986,20.44980339180418,707112.701171883,2262511.8819858795
