Bid Royalty,Opex,Capital,Overall Rate,Commodity Price,Oil (Mbbl),Gas (MMcf),NGL & Cond (Mbbl),Res. (mboe),NPV10 (M$),ROR (%),Capital (M$),Sensitivity,PI ($/$),F&D ($/boe),Res Value ($/boe),,Range,
0.05,-0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,639954.2068613805,0.7071146928054963,124100.0,Opex,=J2/L2,=L2/I2,=J2/I2,,-0.2,
0.05,-0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,630019.5927655685,0.7013803077344498,124100.0,Opex,=J3/L3,=L3/I3,=J3/I3,,-0.1,
0.05,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,620084.9786697569,0.6956191196686783,124100.0,Opex,=J4/L4,=L4/I4,=J4/I4,,0.0,
0.05,0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,610150.3645739456,0.6898297527804633,124100.0,Opex,=J5/L5,=L5/I5,=J5/I5,,+10%,
0.05,0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,600215.7504781364,0.684010803176931,124100.0,Opex,=J6/L6,=L6/I6,=J6/I6,,+20%,
0.05,0.0,-0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,638013.0481433707,0.773483785203414,99280.0,Capital,=J7/L7,=L7/I7,=J7/I7,,,
0.05,0.0,-0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,629049.0134065638,0.7325478310021802,111690.0,Capital,=J8/L8,=L8/I8,=J8/I8,,Lables,Lables
0.05,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,620084.9786697569,0.6956191196686783,124100.0,Capital,=J9/L9,=L9/I9,=J9/I9,,5% Add. Roy,Opex
0.05,0.0,0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,611120.9439329498,0.6620754496373928,136510.0,Capital,=J10/L10,=L10/I10,=J10/I10,,10% Add. Roy,Capital
0.05,0.0,0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,602156.9091961429,0.6314271651665679,148920.0,Capital,=J11/L11,=L11/I11,=J11/I11,,15% Add. Roy,Reserves
0.05,0.0,0.0,-0.2,0.0,23639.251604985293,75049.21290299778,239.2834677287116,36386.73722321365,449701.8917077786,0.5937686571263328,124100.0,Overall Rate,=J12/L12,=L12/I12,=J12/I12,,20% Add. Roy,Price
0.05,0.0,0.0,-0.1,0.0,26594.15805560849,84430.36451587254,269.1939011948011,40935.07937611538,533337.8798602332,0.6453878965989048,124100.0,Overall Rate,=J13/L13,=L13/I13,=J13/I13,,25% Add. Roy,
0.05,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,620084.9786697569,0.6956191196686783,124100.0,Overall Rate,=J14/L14,=L14/I14,=J14/I14,,30% Add. Roy,
0.05,0.0,0.0,0.1,0.0,32503.970956854853,103192.66774162202,329.01476812697894,50031.763681918834,709874.0136830541,0.7429266181219853,124100.0,Overall Rate,=J15/L15,=L15/I15,=J15/I15,,35% Add. Roy,
0.05,0.0,0.0,0.2,0.0,35458.87740747796,112573.81935449666,358.92520159306787,54580.105834820526,802397.9761398586,0.776699223698408,124100.0,Overall Rate,=J16/L16,=L16/I16,=J16/I16,,40% Add. Roy,
0.05,0.0,0.0,0.0,-0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,449466.1224918568,0.5951781534584466,124100.0,Commodity Price,=J17/L17,=L17/I17,=J17/I17,,45% Add. Roy,
0.05,0.0,0.0,0.0,-0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,534775.5505808073,0.6484258772895464,124100.0,Commodity Price,=J18/L18,=L18/I18,=J18/I18,,,
0.05,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,620084.9786697569,0.6956191196686783,124100.0,Commodity Price,=J19/L19,=L19/I19,=J19/I19,,,
0.05,0.0,0.0,0.0,0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,705394.406758707,0.7379332257807194,124100.0,Commodity Price,=J20/L20,=L20/I20,=J20/I20,,,
0.05,0.0,0.0,0.0,0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,790703.8348476591,0.7762426053765932,124100.0,Commodity Price,=J21/L21,=L21/I21,=J21/I21,,,
0.1,-0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,592004.8860891816,0.6823605961175252,124100.0,Opex,=J22/L22,=L22/I22,=J22/I22,,,
0.1,-0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,582070.2719933714,0.6763838806203664,124100.0,Opex,=J23/L23,=L23/I23,=J23/I23,,,
0.1,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,572135.6578975612,0.6703739638327786,124100.0,Opex,=J24/L24,=L24/I24,=J24/I24,,,
0.1,0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,562201.0438017498,0.6643292620620569,124100.0,Opex,=J25/L25,=L25/I25,=J25/I25,,,
0.1,0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,552266.4297059388,0.6582481526460393,124100.0,Opex,=J26/L26,=L26/I26,=J26/I26,,,
0.1,0.0,-0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,590063.7273711751,0.7480903665007599,99280.0,Capital,=J27/L27,=L27/I27,=J27/I27,,,
0.1,0.0,-0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,581099.6926343681,0.7072027148834001,111690.0,Capital,=J28/L28,=L28/I28,=J28/I28,,,
0.1,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,572135.6578975612,0.6703739638327786,124100.0,Capital,=J29/L29,=L29/I29,=J29/I29,,,
0.1,0.0,0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,563171.6231607537,0.6369713064254494,136510.0,Capital,=J30/L30,=L30/I30,=J30/I30,,,
0.1,0.0,0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,554207.5884239465,0.6064968316606762,148920.0,Capital,=J31/L31,=L31/I31,=J31/I31,,,
0.1,0.0,0.0,-0.2,0.0,23639.251604985293,75049.21290299778,239.2834677287116,36386.73722321365,412620.5672503556,0.5690400660232511,124100.0,Overall Rate,=J32/L32,=L32/I32,=J32/I32,,,
0.1,0.0,0.0,-0.1,0.0,26594.15805560849,84430.36451587254,269.1939011948011,40935.07937611538,490902.44050544425,0.6203829011162387,124100.0,Overall Rate,=J33/L33,=L33/I33,=J33/I33,,,
0.1,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,572135.6578975612,0.6703739638327786,124100.0,Overall Rate,=J34/L34,=L34/I34,=J34/I34,,,
0.1,0.0,0.0,0.1,0.0,32503.970956854853,103192.66774162202,329.01476812697894,50031.763681918834,656251.0449734069,0.7175356049904416,124100.0,Overall Rate,=J35/L35,=L35/I35,=J35/I35,,,
0.1,0.0,0.0,0.2,0.0,35458.87740747796,112573.81935449666,358.92520159306787,54580.105834820526,742941.5929727186,0.751420745732509,124100.0,Overall Rate,=J36/L36,=L36/I36,=J36/I36,,,
0.1,0.0,0.0,0.0,-0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,411535.57857134595,0.5697678555568313,124100.0,Commodity Price,=J37/L37,=L37/I37,=J37/I37,,,
0.1,0.0,0.0,0.0,-0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,491835.6182344532,0.6230838674944712,124100.0,Commodity Price,=J38/L38,=L38/I38,=J38/I38,,,
0.1,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,572135.6578975612,0.6703739638327786,124100.0,Commodity Price,=J39/L39,=L39/I39,=J39/I39,,,
0.1,0.0,0.0,0.0,0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,652435.6975606668,0.7127970088715738,124100.0,Commodity Price,=J40/L40,=L40/I40,=J40/I40,,,
0.1,0.0,0.0,0.0,0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,732735.7372237756,0.7512185281537311,124100.0,Commodity Price,=J41/L41,=L41/I41,=J41/I41,,,
