,Gross Rock Volume,(e6m3),107.7668412,,,Gross Rock Volume,(e6m3),38.92722345,,,,,Gross Rock Volume,(e6m3),21.13473524,,Gross Rock Volume,(e6m3),4.88
,Net Rock Volume,(e6m3),43.10673647,,,Net Rock Volume,(e6m3),4.593412367,,,,,Net Rock Volume,(e6m3),2.493898758,,Net Rock Volume,(e6m3),3.05
,Total Pore Volume,(e6m3),3.017471553,,,Total Pore Volume,(e6m3),0.3215388657,,,,,Total Pore Volume,(e6m3),0.2493898758,,Total Pore Volume,(e6m3),0.305
,Hydrocarbon Pore Volume,(e6m3),2.112230087,,,Hydrocarbon Pore Volume,(e6m3),0.225077206,,,,,Hydrocarbon Pore Volume,(e6m3),0.1995119006,,Hydrocarbon Pore Volume,(e6m3),0.244
,Original Oil In Place,(e6m3),1.774983267,,,Original Oil In Place,(e6m3),0.1891405092,,,,,Original Oil In Place,(e6m3),0.1662599172,,Original Oil In Place,(e6m3),0.2033333333
,Original Oil In Place,(MMbbl),11.16428975,,,Original Oil In Place,(MMbbl),1.189655975,,,,,Original Oil In Place,(MMbbl),1.045741627,,Original Oil In Place,(MMbbl),1.278926
,,,,,,,,,,,,,,,,,,,
,,,,,,Recovery Factor,,0.29,,,,,Recovery Factor,,0.3,,Recovery Factor,,0.3
,Proved Producing Reserves,(MMbbl),0.074,,,Reserves,,345000.2327,,,,,Reserves,,313722.4882,,Reserves,,383677.8
,,,,,,,,,,,,,,,,,,,
,,,,,,Target Reserves,,345000.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
