2018-05-02 00:00:00,Starting version,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-08 00:00:00,adjusted trucking cost from 4 $/bbl to 1.95 $/bbl (kyle or andy to supply quote as backup ASSA),,,,,,,,,,,,,,,,,,,,,,,,
2018-05-08 00:00:00,adjusted variable cost after June-2019 from 4 $/bbl to 5.95 $/bbl since oil trucking expense does not go away due to tec-7 conversion,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-09 00:00:00,adjusted water disposal cost until June-2019 to 2.65 $/bbl from 1.00 $/bbl based on quote discussion with Kyle regarding ASSA,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-09 00:00:00,increased initial wcut for tec-2 to 80% (based on prelim testing) and for tec-10 to 50% (logs),,,,,,,,,,,,,,,,,,,,,,,,
2018-05-11 00:00:00,adjusted monthly batter op cost from 10K$/mth to 5K$/mth,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-11 00:00:00,CONSIDER DROPPING POST TEC-7 WINJ CONVERSION WATER DISPOSAL COST FROM 1 $/bbl TO 0.50 $/bbl…. PEMEX IS 0.79 $/bbl & WE MAY HAVE A 3RD PARTY QUOTE AT 0.56 $/bbl,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-11 00:00:00,CONSIDER DROPPING BATTERY OP COST FROM 10K$/MTH TO 5K$/MTH,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-11 00:00:00,CONSIDER DROPPING FIXED OIL WELL COST FROM $5K$/mth TO 3K$/MTH…. Wells appear to flow hard (so far based on Tec-2 test),,,,,,,,,,,,,,,,,,,,,,,,
2018-05-12 00:00:00,ENSURE WCUT IS LOOKING REASONABLE,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-12 00:00:00,Oil #3 had a small water determination error… FIXED,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-19 00:00:00,Updated oil price offset from 0.79 $/bbl to 1.94 $/bbl based on commerlization agreement update which included an additional 1.15 $/bbl fee from PEMEX for fluid handling / processing….. Refer to PEMEX Pricing Work spreadsheet. Overall the input of the offset went from -4.74 to -7.46 $/bbl  Field Price is 89% of WTI July 2018.,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-23 00:00:00,"removed Tec-10 and Tec-2 production profiles (Based on testing results); deferred Tec-7 repair and conversion, adjusted timing and split of battery, adjusted timing of Tec-11 drill
-updated pricing to Jul 2018 GLJ",,,,,,,,,,,,,,,,,,,,,,,,
