,Water Saturation,(%),0.3,,,Water Saturation,(%),0.3,,,,,Water Saturation,(%),0.2,,Water Saturation,(%),0.2
,Oil Formation Volume Factor,(rm3/sm3),1.19,,,Oil Formation Volume Factor,(rm3/sm3),1.19,,,,,Oil Formation Volume Factor,(rm3/sm3),1.2,,Oil Formation Volume Factor,(rm3/sm3),1.2
,,,,,,,,,,,,,,,,,,,
,Gross Rock Volume,(e6m3),=D6*D7,,,Gross Rock Volume,(e6m3),=I6*I7,,,,,Gross Rock Volume,(e6m3),=P6*P7,,Gross Rock Volume,(e6m3),=T6*T7
,Net Rock Volume,(e6m3),=D14*D8,,,Net Rock Volume,(e6m3),=I14*I8,,,,,Net Rock Volume,(e6m3),=P14*P8,,Net Rock Volume,(e6m3),=T14*T8
,Total Pore Volume,(e6m3),=D15*D10,,,Total Pore Volume,(e6m3),=I15*I10,,,,,Total Pore Volume,(e6m3),=P15*P10,,Total Pore Volume,(e6m3),=T15*T10
,Hydrocarbon Pore Volume,(e6m3),=D16*(1-D11),,,Hydrocarbon Pore Volume,(e6m3),=I16*(1-I11),,,,,Hydrocarbon Pore Volume,(e6m3),=P16*(1-P11),,Hydrocarbon Pore Volume,(e6m3),=T16*(1-T11)
,Original Oil In Place,(e6m3),=D17/D12,,,Original Oil In Place,(e6m3),=I17/I12,,,,,Original Oil In Place,(e6m3),=P17/P12,,Original Oil In Place,(e6m3),=T17/T12
,Original Oil In Place,(MMbbl),=D18*6.2898,,,Original Oil In Place,(MMbbl),=I18*6.2898,,,,,Original Oil In Place,(MMbbl),=P18*6.2898,,Original Oil In Place,(MMbbl),=T18*6.2898
,,,,,,,,,,,,,,,,,,,
,,,,,,Recovery Factor,,0.29,,,,,Recovery Factor,,0.3,,Recovery Factor,,0.3
,Proved Producing Reserves,(MMbbl),0.074,,,Reserves,,=I21*I19*1000000,,,,,Reserves,,=P21*P19*1000000,,Reserves,,=T21*T19*1000000
,,,,,,,,,,,,,,,,,,,
,,,,,,Target Reserves,,345000.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
