Sensitivities,,,,,,,,,,Water (Mbbl),0,0,0,0,44.06449107,47.84185519,51.09306263,53.8914028,46.76422361,0,44.06449107,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,WCUT (%),#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.6190328431,0.6720985293,0.7177725887,0.7570846159,0.7883515165,#DIV/0!,0.6190328431,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bid Royalty,0.3122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opex,0.0,,,,,,,,,Year>,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2020-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital,0.0,,,,,,,,,Oil (Mbbl),0,0,0,0,27.11830893,23.34094481,20.08973737,17.2913972,12.55477639,0,27.11830893,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Rate,0.0,,,,,,,,,Gas (MMcf),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commodity Price,0.0,,,,,,,,,NGL + Cond (Mbbl),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Initial Rate,0.0,,,,,,,,,Prod (Mboe),0,0,0,0,27.11830893,23.34094481,20.08973737,17.2913972,12.55477639,0,27.11830893,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base Royalty,0.0,,,,,,,,,Prod (boe/d),0,0,0,0,74.29673681,63.94779399,55.04037636,47.37369096,34.39664764,0,14.85934736,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Oil Revenue (M$),0,0,0,0,2074.550633,1785.582278,1536.864909,1322.791886,960.4403938,0,2074.550633,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summary,"*btax
*econ res",,,,,,,,,Gas Revenue (M$),0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
