Bid Royalty,Opex,Capital,Overall Rate,Commodity Price,Oil (Mbbl),Gas (MMcf),NGL & Cond (Mbbl),Res. (mboe),NPV10 (M$),ROR (%),Capital (M$),Sensitivity,PI ($/$),F&D ($/boe),Res Value ($/boe),,Range,
0.05,-0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,639954.2068613805,0.7071146928054963,124100.0,Opex,5.156762344,2.728466677,14.07005422,,-0.2,
0.05,-0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,630019.5927655685,0.7013803077344498,124100.0,Opex,5.076709047,2.728466677,13.85163146,,-0.1,
0.05,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,620084.9786697569,0.6956191196686783,124100.0,Opex,4.996655751,2.728466677,13.63320871,,0.0,
0.05,0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,610150.3645739456,0.6898297527804633,124100.0,Opex,4.916602454,2.728466677,13.41478596,,+10%,
0.05,0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,600215.7504781364,0.684010803176931,124100.0,Opex,4.836549158,2.728466677,13.19636321,,+20%,
0.05,0.0,-0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,638013.0481433707,0.773483785203414,99280.0,Capital,6.426400566,2.182773342,14.02737584,,,
0.05,0.0,-0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,629049.0134065638,0.7325478310021802,111690.0,Capital,5.632097891,2.455620009,13.83029227,,Lables,Lables
0.05,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,620084.9786697569,0.6956191196686783,124100.0,Capital,4.996655751,2.728466677,13.63320871,,5% Add. Roy,Opex
0.05,0.0,0.1,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,611120.9439329498,0.6620754496373928,136510.0,Capital,4.476748545,3.001313345,13.43612515,,10% Add. Roy,Capital
0.05,0.0,0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,602156.9091961429,0.6314271651665679,148920.0,Capital,4.043492541,3.274160012,13.23904159,,15% Add. Roy,Reserves
0.05,0.0,0.0,-0.2,0.0,23639.251604985293,75049.21290299778,239.2834677287116,36386.73722321365,449701.8917077786,0.5937686571263328,124100.0,Overall Rate,3.623705816,3.410583346,12.35895071,,20% Add. Roy,Price
0.05,0.0,0.0,-0.1,0.0,26594.15805560849,84430.36451587254,269.1939011948011,40935.07937611538,533337.8798602332,0.6453878965989048,124100.0,Overall Rate,4.297646091,3.031629641,13.02887128,,25% Add. Roy,
0.05,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,620084.9786697569,0.6956191196686783,124100.0,Overall Rate,4.996655751,2.728466677,13.63320871,,30% Add. Roy,
0.05,0.0,0.0,0.1,0.0,32503.970956854853,103192.66774162202,329.01476812697894,50031.763681918834,709874.0136830541,0.7429266181219853,124100.0,Overall Rate,5.720177387,2.480424252,14.18846671,,35% Add. Roy,
0.05,0.0,0.0,0.2,0.0,35458.87740747796,112573.81935449666,358.92520159306787,54580.105834820526,802397.9761398586,0.776699223698408,124100.0,Overall Rate,6.465737116,2.273722231,14.70129022,,40% Add. Roy,
0.05,0.0,0.0,0.0,-0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,449466.1224918568,0.5951781534584466,124100.0,Commodity Price,3.621805983,2.728466677,9.881976935,,45% Add. Roy,
0.05,0.0,0.0,0.0,-0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,534775.5505808073,0.6484258772895464,124100.0,Commodity Price,4.309230867,2.728466677,11.75759282,,,
0.05,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,620084.9786697569,0.6956191196686783,124100.0,Commodity Price,4.996655751,2.728466677,13.63320871,,,
0.05,0.0,0.0,0.0,0.1,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,705394.406758707,0.7379332257807194,124100.0,Commodity Price,5.684080635,2.728466677,15.5088246,,,
0.05,0.0,0.0,0.0,0.2,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,790703.8348476591,0.7762426053765932,124100.0,Commodity Price,6.371505519,2.728466677,17.38444049,,,
0.1,-0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,592004.8860891816,0.6823605961175252,124100.0,Opex,4.770385867,2.728466677,13.01583887,,,
0.1,-0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,582070.2719933714,0.6763838806203664,124100.0,Opex,4.69033257,2.728466677,12.79741612,,,
0.1,0.0,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,572135.6578975612,0.6703739638327786,124100.0,Opex,4.610279274,2.728466677,12.57899337,,,
0.1,0.1,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,562201.0438017498,0.6643292620620569,124100.0,Opex,4.530225977,2.728466677,12.36057062,,,
0.1,0.2,0.0,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,552266.4297059388,0.6582481526460393,124100.0,Opex,4.450172681,2.728466677,12.14214787,,,
0.1,0.0,-0.2,0.0,0.0,29549.064506231658,93811.51612874732,299.10433466088966,45483.421529017054,590063.7273711751,0.7480903665007599,99280.0,Capital,5.943429969,2.182773342,12.9731605,,,
