tag,slot,well,forecast_start,cos,qi_bpd,qi_adj_bpd,n_b,di_per_yr
2022-v3,3.0,Tecolutla 11 HZ,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,4.0,Tecolutla 12 HZ,2022-09-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v3,5.0,Tecolutla 13 HZ,2023-02-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v3,6.0,Tecolutla 14 HZ,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,7.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,8.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,9.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,10.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,11.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,12.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,13.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,14.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,15.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,16.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,17.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,18.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,19.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v3,20.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,1.0,Tecolutla-2,2022-04-01,0.0,25.0,25.0,0.001,0.15
2022-v4,2.0,Tecolutla 10 VT,2022-04-01,1.0,50.0,50.0,0.001,0.15
2022-v4,3.0,Tecolutla 11 HZ,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,4.0,Tecolutla 12 VT,2022-09-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v4,5.0,Tecolutla 13 VT,2023-02-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v4,6.0,Tecolutla 14 HZ,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,7.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,8.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,9.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,10.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,11.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,12.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,13.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,14.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,15.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,16.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,17.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,18.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,19.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v4,20.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,1.0,Tecolutla-2,2022-04-01,0.0,25.0,25.0,0.001,0.15
2022-v5,2.0,Tecolutla 10 VT,2022-04-01,1.0,50.0,50.0,0.001,0.15
2022-v5,3.0,Tecolutla 11 HZ,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,4.0,Tecolutla 12 VT,2022-09-01,0.0,342.0,342.0,1.7,3.507302612853693
2022-v5,5.0,Tecolutla 13 VT,2023-02-01,0.0,342.0,342.0,1.7,3.507302612853693
2022-v5,6.0,Tecolutla 14 HZ,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,7.0,Tecolutla Horizontal,2022-09-01,1.0,684.0,684.0,1.7,3.507302612853693
2022-v5,8.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,9.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,10.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,11.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,12.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,13.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,14.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,15.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,16.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,17.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,18.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,19.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v5,20.0,Tecolutla HZ #4,2022-04-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,1.0,Tecolutla-2,2025-06-01,1.0,20.0,20.0,0.001,0.15
2022-v6,2.0,Tecolutla 10 VT,2022-07-01,1.0,50.0,50.0,0.001,0.15
2022-v6,3.0,Tecolutla 11 HZ,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,4.0,Tecolutla 12 VT,2022-12-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v6,5.0,Tecolutla 13 VT,2023-05-01,1.0,342.0,342.0,1.7,3.507302612853693
2022-v6,6.0,Tecolutla 14 VT,2024-07-01,1.0,273.6,273.6,1.7,3.507302612853693
2022-v6,7.0,Tecolutla 15 VT,2025-07-01,1.0,273.6,273.6,1.7,3.507302612853693
2022-v6,8.0,Tecolutla HZ,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,9.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,10.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,11.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,12.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,13.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,14.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,15.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,16.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,17.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,18.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,19.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v6,20.0,Tecolutla HZ #4,2023-07-01,0.0,1000.0,1000.0,1.8,2.0
2022-v7,1.0,Tecolutla-2,2025-06-01,1.0,20.0,20.0,0.001,0.15
2022-v7,2.0,Tecolutla 10 VT,2022-07-01,1.0,50.0,50.0,0.001,0.15
