tag,row,type,description,Group,Location,total,Start Timing,Spread Over (mths),Share %,sum_in_model
2022-v2,551,A,"Tec-14 HZ Drill, Complete, Equip",Drill,Tecolutla-14,0.0,2019-01-01,1.0,0.0,0.0
2022-v2,553,A,Tec-7 Workover Basic (no rods or tubing; or pump; short test),Workover,Tecolutla-7,-260000.0,2019-01-01,1.0,0.0,0.0
2022-v2,554,A,Water Disposal Line to Tec 7,Pipeline,Tecolutla-7,0.0,2019-01-01,1.0,0.0,0.0
2022-v2,555,A,Conversion of Tec 7 to Water Disposal (incl. logging),Conversion,Tecolutla-7,0.0,2019-01-01,1.0,0.0,0.0
2022-v2,556,A,Tec-12 Facility expansion #3 (winj skid? & add. Tanks),Pipeline,Battery,0.0,2019-01-01,1.0,0.0,0.0
2022-v2,558,A,2020 START UP CAPITAL,Facility,Battery,-65000.0,2019-01-01,1.0,0.0,0.0
2022-v3,510,A,Oil Facility Phase #1,Facilities,Field,-15900000.0,#N/A,6.0,0.0,0.0
2022-v3,511,A,Oil Facility Phase #2,Facilities,Field,-5100000.0,#N/A,6.0,0.0,0.0
2022-v3,512,A,Gas Facility Phase #1,Facilities,Field,-11800000.0,#N/A,6.0,0.0,0.0
2022-v3,513,A,Gas Facility Phase #2,Facilities,Field,-700000.0,#N/A,6.0,0.0,0.0
2022-v3,514,A,Gas Facility Phase #3,Facilities,Field,-2900000.0,#N/A,6.0,0.0,0.0
2022-v3,515,A,Gas Facility Phase #4,Facilities,Field,-700000.0,#N/A,6.0,0.0,0.0
2022-v3,516,A,Gas Facility Compression Phase #1,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v3,517,A,Gas Facility Compression Phase #2,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v3,518,A,Gas Facility Compression Phase #3,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v3,519,A,Gas Facility Compression Phase #4,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v3,520,A,Pipeline (Gas),Facilities,Field,-4100000.0,#N/A,6.0,0.0,0.0
2022-v3,521,A,Pipeline (Oil),Facilities,Field,-3800000.0,#N/A,6.0,0.0,0.0
2022-v3,524,A,Engineering and Facility Design,Engineering,Field,-30000.0,2019-01-01,1.0,0.0,0.0
2022-v3,525,A,Road Upgrades (Tec-2 WO & Tec-10 Drill),Drill,Field,-15000.0,2019-01-01,1.0,0.0,0.0
2022-v3,526,A,Road Upgrades (Tec-11 Drill +),Drill,Field,-77000.0,2019-01-01,1.0,0.0,0.0
2022-v3,527,A,Tec-2 Survey,Workover,Field,-5000.0,2019-01-01,1.0,0.0,0.0
2022-v3,528,A,Tec-10 VT Survey,Drill,Field,-25000.0,2019-01-01,1.0,0.0,0.0
2022-v3,529,A,Field Surveying,Engineering,Field,-20000.0,2019-01-01,1.0,0.0,0.0
2022-v3,530,A,Tec-2 Wellhead Maintenance,Workover,Tecolutla-2,-10000.0,2019-01-01,1.0,0.0,0.0
2022-v3,531,A,Tec-2 Site Prep,Workover,Tecolutla-2,-10000.0,2019-01-01,1.0,0.0,0.0
2022-v3,532,A,Tec-2 Workover Basic (no rods or tubing; or pump; short test),Workover,Tecolutla-2,-260000.0,2019-01-01,1.0,0.0,0.0
2022-v3,533,A,"Tec- 2 Extras (rods tubing, pump; extended test)",Workover,Tecolutla-2,0.0,2019-01-01,1.0,0.0,0.0
2022-v3,534,A,Tec-2 Equip and Pipeline,Workover,Tecolutla-2,0.0,2019-01-01,1.0,0.0,0.0
2022-v3,535,A,Tec-10 VT Permit,Drill,Tecolutla-10,-15000.0,2019-01-01,1.0,0.0,0.0
2022-v3,536,A,Tec-10 VT Site Construction,Workover,Tecolutla-10,-150000.0,2019-01-01,1.0,0.0,0.0
2022-v3,537,A,Tec-10 VT Drill,Drill,Tecolutla-10,-1800000.0,2019-01-01,1.0,0.0,0.0
2022-v3,538,A,Tec-10 VT Complete,Drill,Tecolutla-10,-450000.0,2019-01-01,1.0,0.0,0.0
2022-v3,539,A,Tec-10 Core Study,Drill,Tecolutla-10,-25500.0,2019-01-01,1.0,0.0,0.0
2022-v3,540,A,Tec-11 HZ Permit,Drill,Tecolutla-11,-25000.0,2019-01-01,1.0,0.0,0.0
2022-v3,541,A,Tec-2 Site Expansion (for Tec 11 Driil),Drill,Tecolutla-11,-200000.0,2019-01-01,1.0,0.0,0.0
2022-v3,542,A,Tec-11 HZ Drill,Drill,Tecolutla-11,-3100000.0,2019-01-01,1.0,0.0,0.0
2022-v3,543,A,Tec-11 HZ Complete,Drill,Tecolutla-11,-800000.0,2019-01-01,1.0,0.0,0.0
2022-v3,544,A,Tec-11 HZ Equip (jack),Drill,Tecolutla-11,0.0,2019-01-01,1.0,0.0,0.0
2022-v3,545,A,Tec-11 Single Well Battery,Facility,Battery,0.0,2019-01-01,1.0,0.0,0.0
2022-v3,546,A,Tec-11 Pipeline (pending success on Tec-12 *Tec-10 Re-Entry),Workover,Tecolutla-11,0.0,2019-01-01,1.0,0.0,0.0
2022-v3,547,A,Tec-12 Drill,Drill,Tecolutla-12,-1250000.0,2022-08-01,1.0,1.0,-1250000.0
2022-v3,548,A,"Tec-12 Complete, Equip",Drill,Tecolutla-12,-250000.0,2022-08-01,1.0,1.0,-250000.0
2022-v3,549,A,Tec-12 Tie-in,Facility,Tecolutla-12,-50000.0,2022-08-01,1.0,1.0,-50000.0
2022-v3,550,A,"Tec-12 Battery Upgrade 
(incl Tec-11 WO  <- added this comment 2022-04-11)",Facility,Battery,-250000.0,2022-09-01,1.0,1.0,-250000.0
2022-v3,551,A,"Tec-13 Drill, Complete, Equip",Drill,Tecolutla-13,-1550000.0,2023-01-01,1.0,1.0,-1550000.0
2022-v3,552,A,"Tec-14 HZ Drill, Complete, Equip",Drill,Tecolutla-14,0.0,2019-01-01,1.0,0.0,0.0
2022-v3,554,A,Tec-7 Workover Basic (no rods or tubing; or pump; short test),Workover,Tecolutla-7,-260000.0,2019-01-01,1.0,0.0,0.0
2022-v3,555,A,Water Disposal Line to Tec 7,Pipeline,Tecolutla-7,0.0,2019-01-01,1.0,0.0,0.0
2022-v3,556,A,Conversion of Tec 7 to Water Disposal (incl. logging),Conversion,Tecolutla-7,0.0,2019-01-01,1.0,0.0,0.0
2022-v3,557,A,Tec-12 Facility expansion #3 (winj skid? & add. Tanks),Pipeline,Battery,0.0,2019-01-01,1.0,0.0,0.0
2022-v3,559,A,2020 START UP CAPITAL,Facility,Battery,-65000.0,2019-01-01,1.0,0.0,0.0
2022-v4,510,A,Oil Facility Phase #1,Facilities,Field,-15900000.0,#N/A,6.0,0.0,0.0
2022-v4,511,A,Oil Facility Phase #2,Facilities,Field,-5100000.0,#N/A,6.0,0.0,0.0
2022-v4,512,A,Gas Facility Phase #1,Facilities,Field,-11800000.0,#N/A,6.0,0.0,0.0
2022-v4,513,A,Gas Facility Phase #2,Facilities,Field,-700000.0,#N/A,6.0,0.0,0.0
2022-v4,514,A,Gas Facility Phase #3,Facilities,Field,-2900000.0,#N/A,6.0,0.0,0.0
2022-v4,515,A,Gas Facility Phase #4,Facilities,Field,-700000.0,#N/A,6.0,0.0,0.0
2022-v4,516,A,Gas Facility Compression Phase #1,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v4,517,A,Gas Facility Compression Phase #2,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v4,518,A,Gas Facility Compression Phase #3,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v4,519,A,Gas Facility Compression Phase #4,Facilities,Field,-5000000.0,#N/A,6.0,0.0,0.0
2022-v4,520,A,Pipeline (Gas),Facilities,Field,-4100000.0,#N/A,6.0,0.0,0.0
2022-v4,521,A,Pipeline (Oil),Facilities,Field,-3800000.0,#N/A,6.0,0.0,0.0
2022-v4,524,A,Engineering and Facility Design,Engineering,Field,-30000.0,2019-01-01,1.0,0.0,0.0
2022-v4,525,A,Road Upgrades (Tec-2 WO & Tec-10 Drill),Drill,Field,-15000.0,2019-01-01,1.0,0.0,0.0
2022-v4,526,A,Road Upgrades (Tec-11 Drill +),Drill,Field,-77000.0,2019-01-01,1.0,0.0,0.0
2022-v4,527,A,Tec-2 Survey,Workover,Field,-5000.0,2019-01-01,1.0,0.0,0.0
2022-v4,528,A,Tec-10 VT Survey,Drill,Field,-25000.0,2019-01-01,1.0,0.0,0.0
2022-v4,529,A,Field Surveying,Engineering,Field,-20000.0,2019-01-01,1.0,0.0,0.0
2022-v4,530,A,Tec-2 Wellhead Maintenance,Workover,Tecolutla-2,-10000.0,2019-01-01,1.0,0.0,0.0
2022-v4,531,A,Tec-2 Site Prep,Workover,Tecolutla-2,-10000.0,2019-01-01,1.0,0.0,0.0
2022-v4,532,A,Tec-2 Workover Basic (no rods or tubing; or pump; short test),Workover,Tecolutla-2,-260000.0,2019-01-01,1.0,0.0,0.0
2022-v4,533,A,"Tec- 2 Extras (rods tubing, pump; extended test)",Workover,Tecolutla-2,0.0,2019-01-01,1.0,0.0,0.0
2022-v4,534,A,Tec-2 Equip and Pipeline,Workover,Tecolutla-2,0.0,2019-01-01,1.0,0.0,0.0
2022-v4,535,A,Tec-10 VT Permit,Drill,Tecolutla-10,-15000.0,2019-01-01,1.0,0.0,0.0
2022-v4,536,A,Tec-10 VT Site Construction,Workover,Tecolutla-10,-150000.0,2019-01-01,1.0,0.0,0.0
2022-v4,537,A,Tec-10 VT Drill,Drill,Tecolutla-10,-1800000.0,2019-01-01,1.0,0.0,0.0
2022-v4,538,A,Tec-10 VT Complete,Drill,Tecolutla-10,-450000.0,2019-01-01,1.0,0.0,0.0
2022-v4,539,A,Tec-10 Core Study,Drill,Tecolutla-10,-25500.0,2019-01-01,1.0,0.0,0.0
2022-v4,540,A,Tec-11 HZ Permit,Drill,Tecolutla-11,-25000.0,2019-01-01,1.0,0.0,0.0
2022-v4,541,A,Tec-2 Site Expansion (for Tec 11 Driil),Drill,Tecolutla-11,-200000.0,2019-01-01,1.0,0.0,0.0
2022-v4,542,A,Tec-11 HZ Drill,Drill,Tecolutla-11,-3100000.0,2019-01-01,1.0,0.0,0.0
2022-v4,543,A,Tec-11 HZ Complete,Drill,Tecolutla-11,-800000.0,2019-01-01,1.0,0.0,0.0
2022-v4,544,A,Tec-11 HZ Equip (jack),Drill,Tecolutla-11,0.0,2019-01-01,1.0,0.0,0.0
2022-v4,545,A,Tec-11 Single Well Battery,Facility,Battery,0.0,2019-01-01,1.0,0.0,0.0
2022-v4,546,A,Tec-11 Pipeline (pending success on Tec-12 *Tec-10 Re-Entry),Workover,Tecolutla-11,0.0,2019-01-01,1.0,0.0,0.0
2022-v4,547,A,Tec-12 Drill,Drill,Tecolutla-12,-1250000.0,2022-08-01,1.0,1.0,-1250000.0
2022-v4,548,A,"Tec-12 Complete, Equip",Drill,Tecolutla-12,-250000.0,2022-08-01,1.0,1.0,-250000.0
2022-v4,549,A,Tec-12 Tie-in,Facility,Tecolutla-12,-50000.0,2022-08-01,1.0,1.0,-50000.0
2022-v4,550,A,"Tec-12 Battery Upgrade 
(incl Tec-11 WO  <- added this comment 2022-04-11)",Facility,Battery,-250000.0,2022-09-01,1.0,1.0,-250000.0
2022-v4,551,A,"Tec-13 Drill, Complete, Equip",Drill,Tecolutla-13,-1550000.0,2023-01-01,1.0,1.0,-1550000.0
