profile,wti,field_price,capex,price_factor,incremental,econ_months,oil_econ_bbl,revenue,royalties,opex,noi_btax,npv10_btax,npv10_atax,tax,payout_months,irr_btax,royalty_share,opex_per_bbl,capex_case
high_bpd,60,54.0,1808632,0.9,False,66,179712,9704473,3931302,3472532,342005,190249,-146601,-356600,22.0,,0.405,19.32,low
high_bpd,60,54.0,1965904,0.9,False,66,179712,9704473,3931302,3472532,184733,33600,-282900,-333936,28.0,,0.405,19.32,base
high_bpd,60,54.0,2201813,0.9,False,66,179712,9704473,3931302,3472532,-51175,-201373,-489025,-302062,41.0,,0.405,19.32,high
high_bpd,70,63.0,1808632,0.9,False,86,203236,12803924,5342018,4298392,1204880,923631,412694,-551539,14.0,,0.417,21.15,low
high_bpd,70,63.0,1965904,0.9,False,86,203236,12803924,5342018,4298392,1047608,766982,281334,-522186,17.0,,0.417,21.15,base
high_bpd,70,63.0,2201813,0.9,False,86,203236,12803924,5342018,4298392,811699,532008,82838,-480227,21.0,,0.417,21.15,high
high_bpd,80,72.0,1808632,0.9,False,113,229476,16522334,7092658,5322996,2148047,1689038,985383,-776263,11.0,,0.429,23.2,low
high_bpd,80,72.0,1965904,0.9,False,113,229476,16522334,7092658,5322996,1990775,1532389,857854,-740978,12.0,,0.429,23.2,base
high_bpd,80,72.0,2201813,0.9,False,113,229476,16522334,7092658,5322996,1754866,1297415,665514,-689778,15.0,,0.429,23.2,high
high_bpd,90,81.0,1808632,0.9,False,148,257470,20855100,9203209,6522985,3170274,2472197,1559863,-1034136,9.0,,0.441,25.33,low
high_bpd,90,81.0,1965904,0.9,False,148,257470,20855100,9203209,6522985,3013002,2315548,1435815,-992186,10.0,,0.441,25.33,base
high_bpd,90,81.0,2201813,0.9,False,148,257470,20855100,9203209,6522985,2777093,2080574,1249187,-930492,12.0,,0.441,25.33,high
high_bpd,100,90.0,1808632,0.9,False,188,284090,25568114,11586557,7764461,4258462,3253739,2118402,-1336638,8.0,,0.453,27.33,low
high_bpd,100,90.0,1965904,0.9,False,188,284090,25568114,11586557,7764461,4101190,3097090,1995714,-1290956,9.0,,0.453,27.33,base
high_bpd,100,90.0,2201813,0.9,False,188,284090,25568114,11586557,7764461,3865281,2862116,1811641,-1222577,10.0,,0.453,27.33,high
low_bpd,50,45.0,1808632,0.9,True,59,62851,2828311,1131109,990154,-1251584,-1251258,-1263671,-12608,,,0.4,15.75,low
low_bpd,50,45.0,1965904,0.9,True,59,62851,2828311,1131109,990154,-1408856,-1407907,-1415327,-7508,,,0.4,15.75,base
low_bpd,50,45.0,2201813,0.9,True,59,62851,2828311,1131109,990154,-1644765,-1642881,-1645273,-2407,,,0.4,15.75,high
low_bpd,60,54.0,1808632,0.9,True,67,65489,3536429,1455452,1067770,-945425,-980526,-1024423,-45190,,,0.412,16.3,low
low_bpd,60,54.0,1965904,0.9,True,67,65489,3536429,1455452,1067770,-1102697,-1137175,-1171381,-35069,,,0.412,16.3,base
low_bpd,60,54.0,2201813,0.9,True,67,65489,3536429,1455452,1067770,-1338606,-1372149,-1394414,-22702,,,0.412,16.3,high
low_bpd,70,63.0,1808632,0.9,True,67,65489,4125834,1738559,1067770,-639128,-718830,-805523,-90311,,,0.421,16.3,low
low_bpd,70,63.0,1965904,0.9,True,67,65489,4125834,1738559,1067770,-796400,-875478,-948616,-75858,,,0.421,16.3,base
low_bpd,70,63.0,2201813,0.9,True,67,65489,4125834,1738559,1067770,-1032309,-1110452,-1165794,-57058,,,0.421,16.3,high
low_bpd,80,72.0,1808632,0.9,True,67,65489,4715239,2034929,1067770,-346092,-468463,-604765,-143499,,,0.432,16.3,low
low_bpd,80,72.0,1965904,0.9,True,67,65489,4715239,2034929,1067770,-503364,-625112,-744581,-125196,,,0.432,16.3,base
low_bpd,80,72.0,2201813,0.9,True,67,65489,4715239,2034929,1067770,-739273,-860086,-956820,-100727,,,0.432,16.3,high
low_bpd,90,81.0,1808632,0.9,True,67,65489,5304644,2344560,1067770,-66318,-229428,-419352,-201884,52.0,,0.442,16.3,low
low_bpd,90,81.0,1965904,0.9,True,67,65489,5304644,2344560,1067770,-223590,-386076,-556363,-180125,,,0.442,16.3,base
low_bpd,90,81.0,2201813,0.9,True,67,65489,5304644,2344560,1067770,-459499,-621050,-764390,-150606,,,0.442,16.3,high
low_bpd,100,90.0,1808632,0.9,True,67,65489,5894049,2667452,1067770,200193,-1723,-247417,-263491,35.0,,0.453,16.3,low
low_bpd,100,90.0,1965904,0.9,True,67,65489,5894049,2667452,1067770,42921,-158371,-382015,-238610,45.0,,0.453,16.3,base
low_bpd,100,90.0,2201813,0.9,True,67,65489,5894049,2667452,1067770,-192987,-393345,-586387,-204511,,,0.453,16.3,high
base_bpd,50,45.0,1808632,0.9,True,81,152415,6858693,2727840,2497040,-324818,-439063,-580817,-149659,,,0.398,16.38,low
base_bpd,50,45.0,1965904,0.9,True,81,152415,6858693,2727840,2497040,-482090,-595712,-719837,-130393,,,0.398,16.38,base
base_bpd,50,45.0,2201813,0.9,True,81,152415,6858693,2727840,2497040,-717999,-830686,-930993,-104646,,,0.398,16.38,high
base_bpd,60,54.0,1808632,0.9,True,134,185594,10022095,4133652,3451283,478526,221194,-52615,-296922,31.0,,0.412,18.6,low
base_bpd,60,54.0,1965904,0.9,True,134,185594,10022095,4133652,3451283,321254,64546,-184816,-268768,38.0,,0.412,18.6,base
base_bpd,60,54.0,2201813,0.9,True,134,185594,10022095,4133652,3451283,85345,-170427,-385600,-229951,54.0,,0.412,18.6,high
base_bpd,70,63.0,1808632,0.9,True,214,216692,13651636,5832777,4447082,1413144,912387,480837,-483237,21.0,,0.427,20.52,low
base_bpd,70,63.0,1965904,0.9,True,214,216692,13651636,5832777,4447082,1255872,755738,354777,-445355,24.0,,0.427,20.52,base
base_bpd,70,63.0,2201813,0.9,True,214,216692,13651636,5832777,4447082,1019963,520764,162978,-393254,30.0,,0.427,20.52,high
base_bpd,80,72.0,1808632,0.9,True,217,217613,15668179,6844830,4478212,2386504,1569506,943382,-766579,16.0,,0.437,20.58,low
base_bpd,80,72.0,1965904,0.9,True,217,217613,15668179,6844830,4478212,2229232,1412858,820927,-719887,18.0,,0.437,20.58,base
base_bpd,80,72.0,2201813,0.9,True,217,217613,15668179,6844830,4478212,1993323,1177884,637244,-649848,22.0,,0.437,20.58,high
base_bpd,90,81.0,1808632,0.9,True,217,217613,17626701,7873696,4478212,3316160,2196331,1382160,-1045476,13.0,,0.447,20.58,low
base_bpd,90,81.0,1965904,0.9,True,217,217613,17626701,7873696,4478212,3158888,2039683,1259705,-998783,15.0,,0.447,20.58,base
base_bpd,90,81.0,2201813,0.9,True,217,217613,17626701,7873696,4478212,2922979,1804709,1076022,-928745,18.0,,0.447,20.58,high
base_bpd,100,90.0,1808632,0.9,True,217,217613,19585224,8946630,4478212,4201749,2793444,1800139,-1311152,12.0,,0.457,20.58,low
base_bpd,100,90.0,1965904,0.9,True,217,217613,19585224,8946630,4478212,4044477,2636795,1677684,-1264460,13.0,,0.457,20.58,base
base_bpd,100,90.0,2201813,0.9,True,217,217613,19585224,8946630,4478212,3808568,2401821,1494000,-1194422,15.0,,0.457,20.58,high
high_bpd,50,45.0,1808632,0.9,True,92,209528,9428776,3743115,3476687,250342,74541,-194447,-285406,31.0,,0.397,16.59,low
high_bpd,50,45.0,1965904,0.9,True,92,209528,9428776,3743115,3476687,93070,-82107,-329996,-261773,40.0,,0.397,16.59,base
high_bpd,50,45.0,2201813,0.9,True,92,209528,9428776,3743115,3476687,-142838,-317081,-535739,-229417,75.0,,0.397,16.59,high
high_bpd,60,54.0,1808632,0.9,True,228,306845,16569683,6866420,6286243,1458387,1007691,542056,-510512,18.0,,0.414,20.49,low
high_bpd,60,54.0,1965904,0.9,True,228,306845,16569683,6866420,6286243,1301115,851043,413954,-476174,20.0,,0.414,20.49,base
high_bpd,60,54.0,2201813,0.9,True,228,306845,16569683,6866420,6286243,1065206,616069,220463,-426800,26.0,,0.414,20.49,high
high_bpd,70,63.0,1808632,0.9,True,360,365618,23033990,9866676,8124691,3083990,1969047,1229251,-970474,13.0,,0.428,22.22,low
high_bpd,70,63.0,1965904,0.9,True,360,365618,23033990,9866676,8124691,2926718,1812398,1106858,-923316,14.0,,0.428,22.22,base
high_bpd,70,63.0,2201813,0.9,True,360,365618,23033990,9866676,8124691,2690809,1577424,923269,-852580,17.0,,0.428,22.22,high
high_bpd,80,72.0,1808632,0.9,True,360,365618,26324560,11521266,8124691,4719969,2880554,1867306,-1461268,10.0,,0.438,22.22,low
high_bpd,80,72.0,1965904,0.9,True,360,365618,26324560,11521266,8124691,4562697,2723905,1744913,-1414110,11.0,,0.438,22.22,base
high_bpd,80,72.0,2201813,0.9,True,360,365618,26324560,11521266,8124691,4326788,2488931,1561323,-1343374,13.0,,0.438,22.22,high
high_bpd,90,81.0,1808632,0.9,True,360,365618,29615130,13249895,8124691,6281911,3750810,2476485,-1929850,8.0,,0.447,22.22,low
high_bpd,90,81.0,1965904,0.9,True,360,365618,29615130,13249895,8124691,6124639,3594161,2354092,-1882693,9.0,,0.447,22.22,base
high_bpd,90,81.0,2201813,0.9,True,360,365618,29615130,13249895,8124691,5888730,3359187,2170503,-1811956,11.0,,0.447,22.22,high
high_bpd,100,90.0,1808632,0.9,True,360,365618,32905700,15052561,8124691,7769814,4579814,3056788,-2376221,7.0,,0.457,22.22,low
high_bpd,100,90.0,1965904,0.9,True,360,365618,32905700,15052561,8124691,7612542,4423166,2934395,-2329064,8.0,,0.457,22.22,base
high_bpd,100,90.0,2201813,0.9,True,360,365618,32905700,15052561,8124691,7376633,4188192,2750806,-2258327,9.0,,0.457,22.22,high
base_bpd,70,56.0,1965904,0.8,False,60,133194,7458871,3041565,2699387,-397986,-498651,-679841,-190861,,,0.408,20.27,base
base_bpd,70,59.5,1965904,0.85,False,65,138259,8226410,3393202,2879758,-162453,-293502,-517788,-237814,,,0.412,20.83,base
