month,oil_bpd,oil_bbl,water_bbl,field_price,revenue,royalties,opex,netback,live,capital,cf_btax,tax,cf_atax,disc_factor
11,108.62743701130792,3304.446633883987,4299.822708680982,63.0,208180.13793469119,86402.58998330269,51931.661898872095,69845.8860525164,True,0.0,69845.8860525164,-10999.516148839917,58846.36990367649,0.9199863855821814
12,104.38269425665956,3175.321559287584,4332.4350777996715,63.0,200045.2582351178,83044.28386668721,51101.495307683916,65899.47906074667,True,0.0,65899.47906074667,-10022.97425270306,55876.50480804361,0.9127083212578423
13,100.44239108394488,3055.4575367736034,4364.303063350189,63.0,192493.824816737,79926.8407114439,50336.052097496744,62230.93200779636,True,0.0,62230.93200779636,-9125.469917349652,53105.4620904467,0.9054878341119695
14,96.77540734911562,2943.9078915600976,4395.388583653807,63.0,185466.19716828616,77025.63924458923,49628.34511068558,58812.212813011356,True,0.0,58812.212813011356,-8298.683527351428,50513.529285659926,0.8983244686482481
15,93.35469278815673,2839.8497546157278,4425.652536718996,63.0,178910.53454079086,74319.27815340561,48972.281465300766,55618.97492208448,True,0.0,55618.97492208448,-7535.399250001532,48083.57567208295,0.89121777297382
16,90.1566256987586,2742.564553756237,4455.0553355595,63.0,172781.56688664292,71789.06869467902,48362.5228553011,52629.9753366628,True,0.0,52629.9753366628,-6829.330483263024,45800.644853399775,0.8841672987707774
17,87.16048883607988,2651.4220703935503,4483.557366967435,63.0,167039.59043479367,69418.620040015,47794.371452997395,49826.59894178128,True,0.0,49826.59894178128,-6174.977192251396,43651.621749529884,0.8771726012678804
18,84.34803831780067,2565.8673256274965,4511.11938969291,63.0,161649.64151453227,67193.49820716133,47263.6761273013,47192.46718006963,True,0.0,47192.46718006963,-5567.508548952131,41624.9586311175,0.8702332392125002
19,81.70314687393548,2485.4097279051175,4537.702883746045,63.0,156580.8128580224,65100.943810551675,46766.75489948675,44713.11414798398,True,0.0,44713.11414798398,-5002.665797765367,39710.44835021861,0.8633487748427818
20,79.2115069317877,2409.6140408649817,4563.27035942397,63.0,151805.68457449385,63129.63715151914,46300.33046439902,42375.716958575686,True,0.0,42375.716958575686,-4476.681400247667,37899.03555832802,0.8565187738600295
21,76.86038217013959,2338.0928256156462,4587.785632364381,63.0,147299.84801378573,61269.50165583513,45861.47629089767,40168.87006705292,True,0.0,40168.87006705292,-3986.2113679434415,36182.65869910948,0.8497428054013089
22,74.63839857529162,2270.500084660371,4611.214069220656,63.0,143041.5053336034,59511.53856386081,45447.571338754824,38082.39543098775,True,0.0,38082.39543098775,-3528.2783448774844,34554.117086110266,0.8430204420122666
23,72.53536787594845,2206.525890786352,4633.52280728751,63.0,139011.1311195402,57847.68723781754,45056.26183188546,36107.1820498372,True,0.0,36107.1820498372,-3100.2235031243786,33006.95854671283,0.8363512596201648
24,70.5421376627566,2145.891827701056,4654.680950469104,63.0,135191.18514516653,56270.70658110881,44685.42883985724,34235.04972420048,True,0.0,34235.04972420048,-2699.6657035964186,31535.38402060406,0.8297348375071293
