top_mmd,base_mmd,pct,desc,gas_units,calcimetry_pct
830,840,80 20,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",21.0,
840,850,70 30,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso. \-",15.0,
850,860,70 30,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso. \-",26.0,
860,870,80 20,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso. \-",111.0,
870,880,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",79.0,
880,890,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",81.0,
890,900,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",80.0,
900,910,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",71.0,
910,920,100,"Lutita arenosa gris claro, semidura, calcarea",59.0,
920,930,100,"Lutita arenosa gris claro, semidura, calcarea",54.0,
930,940,100,"Lutita arenosa gris claro, semidura, calcarea",52.0,
940,950,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",52.0,
950,960,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",62.0,
960,970,90 10,"Lutita arenosa gris claro, semidura, calcárea. Arenisca gris claro a gris oscuro de grano fino a medio, subredondeado, bien clasificado, bien consolidado y cementado en material calcáreo y arcilloso.",53.0,
