line,datetime,minutes,p_psi,t_degC,dp_psi,p_kpa
1,2018-05-10 20:00:05,0,15.3665,27.848,0.0,105.9482834405
2,2018-05-10 20:00:10,5,15.3647,27.8065,-0.0018,105.9358728779
3,2018-05-10 20:00:15,10,15.4767,27.8035,0.112,106.7080856619
4,2018-05-10 20:00:20,15,14.69,27.8336,-0.7868,101.28398033
5,2018-05-10 20:00:25,20,14.8867,27.8261,0.1967,102.6401790319
6,2018-05-10 20:00:30,25,15.0121,27.8246,0.1255,103.5047815597
7,2018-05-10 20:00:35,30,15.0675,27.8253,0.0553,103.88675109750001
8,2018-05-10 20:00:40,35,14.9409,27.8306,-0.1266,103.0138748613
9,2018-05-10 20:00:45,40,15.0785,27.8351,0.1376,103.9625934245
10,2018-05-10 20:00:50,45,14.8816,27.8434,-0.1969,102.6050157712
11,2018-05-10 20:00:55,50,15.0073,27.8412,0.1257,103.4716867261
12,2018-05-10 20:01:00,55,14.8549,27.8397,-0.1524,102.4209257593
13,2018-05-10 20:01:10,65,15.0902,27.8427,0.2353,104.0432620814
14,2018-05-10 20:01:20,75,15.1583,27.8472,0.0681,104.5127950331
15,2018-05-10 20:01:30,85,14.7124,27.8517,-0.4459,101.43842288680001
16,2018-05-10 20:01:40,95,14.8937,27.8495,0.1813,102.6884423309
17,2018-05-10 20:01:50,105,15.114,27.8563,0.2203,104.207357298
18,2018-05-10 20:02:00,115,15.0163,27.8578,-0.0977,103.5337395391
19,2018-05-10 20:02:10,125,14.9843,27.8721,-0.032,103.3131073151
20,2018-05-10 20:02:20,135,15.0787,27.8819,0.0944,103.9639723759
21,2018-05-10 20:02:30,145,15.035,27.8887,-0.0437,103.662671495
22,2018-05-10 20:02:40,155,14.7415,27.8948,-0.2936,101.6390603155
23,2018-05-10 20:02:50,165,14.8923,27.9016,0.1508,102.6787896711
24,2018-05-10 20:03:00,175,14.8226,27.9023,-0.0697,102.1982251082
25,2018-05-10 20:03:10,185,14.7243,27.9061,-0.0984,101.5204704951
26,2018-05-10 20:03:20,195,15.0708,27.9091,0.3465,103.9095037956
27,2018-05-10 20:03:30,205,14.9195,27.9038,-0.1513,102.8663270615
28,2018-05-10 20:03:40,215,14.8484,27.9091,-0.071,102.3761098388
29,2018-05-10 20:03:50,225,14.7102,27.9068,-0.1383,101.4232544214
30,2018-05-10 20:04:00,235,14.9192,27.9046,0.2091,102.8642586344
31,2018-05-10 20:04:10,245,14.8789,27.9,-0.0404,102.58639992730001
32,2018-05-10 20:04:20,255,14.9345,27.9,0.0556,102.9697484165
33,2018-05-10 20:04:30,265,14.8518,27.8978,-0.0827,102.39955201260001
34,2018-05-10 20:04:40,275,14.867,27.8933,0.0152,102.504352319
35,2018-05-10 20:04:50,285,14.9504,27.8933,0.0834,103.0793750528
36,2018-05-10 20:05:00,295,14.8829,27.8865,-0.0675,102.6139789553
37,2018-05-10 20:05:10,305,14.899,27.8789,0.0161,102.72498454299999
38,2018-05-10 20:05:20,315,14.9557,27.8751,0.0567,103.1159172649
39,2018-05-10 20:05:30,325,14.777,27.8683,-0.1786,101.883824189
40,2018-05-10 20:05:40,335,14.8886,27.8668,0.1116,102.6532790702
41,2018-05-10 20:05:50,345,14.7806,27.8563,-0.1081,101.9086453142
42,2018-05-10 20:06:00,355,14.8933,27.851,0.1127,102.6856844281
43,2018-05-10 20:06:10,365,14.8545,27.8412,-0.0388,102.4181678565
44,2018-05-10 20:06:20,375,14.7596,27.8329,-0.0948,101.7638554172
45,2018-05-10 20:06:30,385,14.9286,27.8253,0.1689,102.9290693502
46,2018-05-10 20:06:40,395,14.8745,27.8201,-0.054,102.5560629965
47,2018-05-10 20:06:50,405,14.7661,27.811,-0.1085,101.8086713377
48,2018-05-10 20:07:00,415,14.7522,27.811,-0.0139,101.71283421540001
49,2018-05-10 20:07:10,425,14.9222,27.7997,0.17,102.88494290540001
50,2018-05-10 20:07:20,435,14.8964,27.7929,-0.0258,102.7070581748
51,2018-05-10 20:07:30,445,14.8847,27.7853,-0.0117,102.62638951790001
52,2018-05-10 20:07:40,455,14.8591,27.7778,-0.0256,102.4498837387
53,2018-05-10 20:07:50,465,14.7383,27.7635,-0.1208,101.61699709310001
54,2018-05-10 20:08:00,475,14.7419,27.7514,0.0035,101.6418182183
55,2018-05-10 20:08:10,485,14.7571,27.7469,0.0152,101.7466185247
56,2018-05-10 20:08:20,495,14.8296,27.7363,0.0725,102.2464884072
57,2018-05-10 20:08:30,505,14.7068,27.7287,-0.1228,101.3998122476
58,2018-05-10 20:08:40,515,14.6839,27.7121,-0.0229,101.2419223123
59,2018-05-10 20:08:50,525,14.6985,27.7099,0.0146,101.3425857645
60,2018-05-10 20:09:00,535,14.7851,27.6986,0.0866,101.9396717207
61,2018-05-10 20:09:10,545,14.732,27.6903,-0.0531,101.573560124
62,2018-05-10 20:09:20,555,14.8054,27.6767,0.0734,102.0796352878
63,2018-05-10 20:09:30,565,14.6685,27.6699,-0.1369,101.1357430545
64,2018-05-10 20:09:40,575,14.6985,27.6623,0.03,101.3425857645
65,2018-05-10 20:09:50,585,14.7413,27.6586,0.0428,101.6376813641
66,2018-05-10 20:10:00,595,14.7439,27.6495,0.0027,101.6556077323
67,2018-05-10 20:10:10,605,14.7197,27.6374,-0.0242,101.4887546129
68,2018-05-10 20:10:20,615,14.79,27.6344,0.0703,101.97345603
69,2018-05-10 20:10:30,625,14.5568,27.6246,-0.2332,100.3655986976
70,2018-05-10 20:10:40,635,14.6979,27.6171,0.1411,101.3384489103
71,2018-05-10 20:10:50,645,14.6875,27.605,-0.0103,101.2667434375
72,2018-05-10 20:11:00,655,14.8705,27.5967,0.1829,102.5284839685
73,2018-05-10 20:11:10,665,14.6373,27.5869,-0.2332,100.9206266361
74,2018-05-10 20:11:20,675,14.666,27.5839,0.0287,101.118506162
75,2018-05-10 20:11:30,685,14.7665,27.5725,0.1005,101.8114292405
76,2018-05-10 20:11:40,695,14.686,27.5627,-0.0804,101.256401302
77,2018-05-10 20:11:50,705,14.5626,27.5575,-0.1234,100.40558828820001
78,2018-05-10 20:12:00,715,14.4782,27.5612,-0.0844,99.8236707974
79,2018-05-10 20:12:10,725,14.5073,27.5567,0.0291,100.0243082261
80,2018-05-10 20:12:20,735,14.4522,27.5552,-0.0551,99.6444071154
81,2018-05-10 20:12:30,745,14.437,27.5597,-0.0152,99.539606809
82,2018-05-10 20:12:40,755,14.4943,27.5537,0.0573,99.9346763851
83,2018-05-10 20:12:50,765,14.3568,27.5492,-0.1375,98.9866472976
84,2018-05-10 20:13:00,775,14.4679,27.5492,0.1111,99.75265480030001
85,2018-05-10 20:13:10,785,14.3017,27.5476,-0.1662,98.60674618690001
86,2018-05-10 20:13:20,795,14.5274,27.5356,0.2257,100.1628928418
87,2018-05-10 20:13:30,805,14.7079,27.5356,0.1805,101.40739648030001
88,2018-05-10 20:13:40,815,14.6224,27.5431,-0.0855,100.81789475680002
89,2018-05-10 20:13:50,825,14.649,27.5469,0.0267,101.001295293
90,2018-05-10 20:14:00,835,14.6614,27.5522,0.0123,101.08679027980001
91,2018-05-10 20:14:10,845,14.586,27.5725,-0.0754,100.56692560200001
92,2018-05-10 20:14:20,855,14.2712,27.6042,-0.3148,98.39645609840001
93,2018-05-10 20:14:30,865,14.7129,27.6133,0.4417,101.4418702653
94,2018-05-10 20:14:40,875,14.5246,27.6397,-0.1883,100.1435875222
95,2018-05-10 20:14:50,885,14.397,27.6488,-0.1276,99.26381652900001
96,2018-05-10 20:15:00,895,14.6128,27.6706,0.2158,100.75170508960001
97,2018-05-10 20:15:10,905,14.6507,27.6835,0.0379,101.01301637990001
98,2018-05-10 20:15:20,915,14.5051,27.7061,-0.1455,100.00913976070001
99,2018-05-10 20:15:30,925,14.6156,27.7084,0.1104,100.7710104092
100,2018-05-10 20:15:40,935,14.7639,27.7235,0.1484,101.7935028723
101,2018-05-10 20:15:50,945,14.6892,27.7416,-0.0748,101.27846452440001
102,2018-05-10 20:16:00,955,14.577,27.7453,-0.1122,100.504872789
103,2018-05-10 20:16:10,965,14.6706,27.7574,0.0937,101.1502220442
104,2018-05-10 20:16:20,975,14.6949,27.7695,0.0242,101.31776463930001
105,2018-05-10 20:16:30,985,14.7608,27.7816,0.0659,101.7721291256
106,2018-05-10 20:16:40,995,14.7683,27.8035,0.0075,101.8238398031
107,2018-05-10 20:16:50,1005,14.7515,27.8133,-0.0168,101.70800788550001
108,2018-05-10 20:17:00,1015,14.6613,27.8367,-0.0902,101.08610080410001
109,2018-05-10 20:17:10,1025,14.8064,27.8631,0.1451,102.0865300448
110,2018-05-10 20:17:20,1035,14.6433,27.8978,-0.163,100.9619951781
111,2018-05-10 20:17:30,1045,14.6737,27.9363,0.0304,101.1715957909
112,2018-05-10 20:17:40,1055,14.6615,27.9778,-0.0122,101.0874797555
113,2018-05-10 20:17:50,1065,14.746,28.0215,0.0844,101.67008672200001
114,2018-05-10 20:18:00,1075,14.7911,28.057,0.0452,101.9810402627
115,2018-05-10 20:18:10,1085,14.6272,28.0947,-0.164,100.8509895904
116,2018-05-10 20:18:20,1095,14.5389,28.1113,-0.0883,100.2421825473
117,2018-05-10 20:18:30,1105,14.7557,28.1302,0.2169,101.7369658649
118,2018-05-10 20:18:40,1115,14.6558,28.1392,-0.1,101.0481796406
119,2018-05-10 20:18:50,1125,14.767,28.1392,0.1112,101.814876619
120,2018-05-10 20:19:00,1135,14.6712,28.134,-0.0958,101.1543588984
121,2018-05-10 20:19:10,1145,14.7842,28.1279,0.113,101.93346643940001
122,2018-05-10 20:19:20,1155,14.662,28.1181,-0.1222,101.09092713400001
123,2018-05-10 20:19:30,1165,14.5803,28.1121,-0.0816,100.5276254871
124,2018-05-10 20:19:40,1175,14.6669,28.1015,0.0865,101.1247114433
125,2018-05-10 20:19:50,1185,14.7388,28.0932,0.0719,101.6204444716
126,2018-05-10 20:20:00,1195,14.6303,28.0842,-0.1085,100.8723633371
127,2018-05-10 20:20:10,1205,14.7177,28.0706,0.0874,101.47496509890001
128,2018-05-10 20:20:20,1215,14.6363,28.0638,-0.0814,100.91373187910001
129,2018-05-10 20:20:30,1225,14.5571,28.0494,-0.0792,100.3676671247
130,2018-05-10 20:20:40,1235,14.7395,28.0434,0.1825,101.6252708015
131,2018-05-10 20:20:50,1245,14.697,28.0464,-0.0426,101.332243629
132,2018-05-10 20:21:00,1255,14.691,28.0668,-0.006,101.290875087
133,2018-05-10 20:21:10,1265,14.7895,28.1098,0.0986,101.97000865150001
134,2018-05-10 20:21:20,1275,14.7327,28.1611,-0.0568,101.5783864539
135,2018-05-10 20:21:30,1285,14.6627,28.2102,-0.07,101.0957534639
136,2018-05-10 20:21:40,1295,14.8358,28.2834,0.1731,102.2892359006
137,2018-05-10 20:21:50,1305,14.7896,28.346,-0.0462,101.97069812720001
138,2018-05-10 20:22:00,1315,14.7685,28.4177,-0.0211,101.8252187545
139,2018-05-10 20:22:10,1325,14.6608,28.4999,-0.1077,101.0826534256
140,2018-05-10 20:22:20,1335,14.7631,28.5776,0.1023,101.7879870667
141,2018-05-10 20:22:30,1345,14.9032,28.6689,0.1401,102.75394252240001
142,2018-05-10 20:22:40,1355,14.7101,28.7572,-0.1931,101.4225649457
143,2018-05-10 20:22:50,1365,14.6157,28.841,-0.0944,100.7716998849
144,2018-05-10 20:23:00,1375,14.7308,28.9225,0.1151,101.5652864156
145,2018-05-10 20:23:10,1385,14.7339,29.0062,0.0031,101.5866601623
146,2018-05-10 20:23:20,1395,14.6804,29.093,-0.0536,101.21779066280001
147,2018-05-10 20:23:30,1405,26.6252,29.1782,11.9448,183.5742840764
148,2018-05-10 20:23:40,1415,62.291,29.2959,35.6658,429.481308287
149,2018-05-10 20:23:50,1425,219.0802,29.7479,156.7891,1510.5047425114
150,2018-05-10 20:24:00,1435,429.5017,31.4846,210.4216,2961.3098525869004
151,2018-05-10 20:24:10,1445,599.0107,34.7076,169.509,4130.0332168999
152,2018-05-10 20:24:20,1455,626.0565,37.9925,27.0458,4316.507435770501
153,2018-05-10 20:24:30,1465,624.9621,40.4946,-1.0943,4308.9618137096995
154,2018-05-10 20:24:40,1475,623.1859,42.5758,-1.7762,4296.715346326299
155,2018-05-10 20:24:50,1485,619.7799,45.007,-3.406,4273.2318039843
156,2018-05-10 20:25:00,1495,614.6758,46.9188,-5.1041,4238.0402747806
157,2018-05-10 20:25:10,1505,600.6933,48.3914,-13.9825,4141.6343350281
158,2018-05-10 20:25:20,1515,595.7499,49.5081,-4.9434,4107.5507932743
159,2018-05-10 20:25:30,1525,592.7868,50.2038,-2.9631,4087.1209388076
160,2018-05-10 20:25:40,1535,600.046,50.6921,7.2592,4137.171358822001
161,2018-05-10 20:25:50,1545,617.1518,51.1342,17.1058,4255.1116931126
162,2018-05-10 20:26:00,1555,629.711,51.612,12.5593,4341.7043252270005
163,2018-05-10 20:26:10,1565,639.3049,52.062,9.5938,4407.8519344093
164,2018-05-10 20:26:20,1575,648.2404,52.4399,8.9355,4469.460035582801
165,2018-05-10 20:26:30,1585,655.5583,52.7602,7.3179,4519.915177833101
166,2018-05-10 20:26:40,1595,658.666,53.0077,3.1077,4541.342014162001
167,2018-05-10 20:26:50,1605,659.134,53.174,0.468,4544.568760438
168,2018-05-10 20:27:00,1615,658.3657,53.2826,-0.7682,4539.2715186349
169,2018-05-10 20:27:10,1625,657.4498,53.3486,-0.9159,4532.9566106986
170,2018-05-10 20:27:20,1635,653.3187,53.3912,-4.1312,4504.4736800559
171,2018-05-10 20:27:30,1645,642.1856,53.417,-11.1331,4427.7136608992005
172,2018-05-10 20:27:40,1655,633.1394,53.4132,-9.0462,4365.3423101258
173,2018-05-10 20:27:50,1665,625.0038,53.3479,-8.1355,4309.2493250766
174,2018-05-10 20:28:00,1675,618.2532,53.253,-6.7506,4262.7055784724
175,2018-05-10 20:28:10,1685,611.5694,53.1482,-6.6838,4216.6224016358
176,2018-05-10 20:28:20,1695,608.2754,53.0517,-3.294,4193.9110720778
177,2018-05-10 20:28:30,1705,604.9675,52.9705,-3.3079,4171.1039053975
178,2018-05-10 20:28:40,1715,608.2263,52.89,3.2587,4193.5725395091
179,2018-05-10 20:28:50,1725,608.9636,52.8308,0.7373,4198.656043845201
180,2018-05-10 20:29:00,1735,608.1113,52.7989,-0.8523,4192.7796424541
181,2018-05-10 20:29:10,1745,607.1222,52.7777,-0.9891,4185.9600383054
182,2018-05-10 20:29:20,1755,605.1734,52.7663,-1.9488,4172.5235358638
183,2018-05-10 20:29:30,1765,601.9341,52.7564,-3.2393,4150.1893495137
184,2018-05-10 20:29:40,1775,599.1753,52.7579,-2.7588,4131.1680939021
185,2018-05-10 20:29:50,1785,597.7399,52.7617,-1.4354,4121.2713597043
186,2018-05-10 20:30:00,1795,596.7149,52.7807,-1.0251,4114.2042337793
187,2018-05-10 20:30:10,1805,598.7705,52.8126,2.0556,4128.3770962685
188,2018-05-10 20:30:20,1815,602.4971,52.8726,3.7266,4154.0710977047
189,2018-05-10 20:30:30,1825,605.6726,52.9705,3.1755,4175.9653985582
190,2018-05-10 20:30:40,1835,609.5242,53.0829,3.8515,4202.5212446194
191,2018-05-10 20:30:50,1845,612.1011,53.1975,2.5769,4220.2883439327
192,2018-05-10 20:31:00,1855,614.4103,53.3076,2.3092,4236.209716797101
193,2018-05-10 20:31:10,1865,616.4684,53.4155,2.0581,4250.3998161788
194,2018-05-10 20:31:20,1875,619.2364,53.5112,2.7679,4269.4845035548005
195,2018-05-10 20:31:30,1885,621.2788,53.6008,2.0424,4283.566355251601
196,2018-05-10 20:31:40,1895,623.8376,53.6912,2.5588,4301.2086594632
197,2018-05-10 20:31:50,1905,624.4167,53.7724,0.5791,4305.2014132419
198,2018-05-10 20:32:00,1915,624.0328,53.8621,-0.3839,4302.5545160296
199,2018-05-10 20:32:10,1925,625.5586,53.9479,1.5258,4313.0745362602
200,2018-05-10 20:32:20,1935,629.9268,54.0641,4.3681,4343.1922137876
201,2018-05-10 20:32:30,1945,639.4819,54.2108,9.5551,4409.0723063983005
202,2018-05-10 20:32:40,1955,650.4592,54.46,10.9773,4484.7581224144005
203,2018-05-10 20:32:50,1965,660.5808,54.8248,10.1215,4554.5440948656
204,2018-05-10 20:33:00,1975,670.2944,55.2361,9.7136,4621.5170064608
205,2018-05-10 20:33:10,1985,678.9538,55.6414,8.6594,4681.2214652266
206,2018-05-10 20:33:20,1995,687.6874,56.0072,8.7336,4741.4375149618
207,2018-05-10 20:33:30,2005,689.0239,56.2682,1.3366,4750.6523576923
208,2018-05-10 20:33:40,2015,689.8855,56.4462,0.8616,4756.5928803235
209,2018-05-10 20:33:50,2025,692.8785,56.5565,2.9929,4777.2288880245005
210,2018-05-10 20:34:00,2035,694.4232,56.6281,1.5447,4787.8792191624
211,2018-05-10 20:34:10,2045,694.8825,56.6684,0.4593,4791.045981052501
212,2018-05-10 20:34:20,2055,693.1252,56.6859,-1.7573,4778.9298245764
213,2018-05-10 20:34:30,2065,691.1781,56.6791,-1.9471,4765.5050432217
214,2018-05-10 20:34:40,2075,688.6011,56.6783,-2.577,4747.7372544327
215,2018-05-10 20:34:50,2085,682.0447,56.6669,-6.5564,4702.5324696379
216,2018-05-10 20:35:00,2095,679.0344,56.6349,-3.0102,4681.7771826408
217,2018-05-10 20:35:10,2105,683.4261,56.5893,4.3916,4712.0568869577
218,2018-05-10 20:35:20,2115,688.3295,56.5116,4.9034,4745.864638431501
219,2018-05-10 20:35:30,2125,690.8602,56.431,2.5308,4763.3131999714
220,2018-05-10 20:35:40,2135,689.9528,56.3595,-0.9074,4757.056897469601
221,2018-05-10 20:35:50,2145,689.3256,56.3138,-0.6272,4752.7325058792
222,2018-05-10 20:36:00,2155,688.9236,56.3115,-0.402,4749.9608135652
223,2018-05-10 20:36:10,2165,692.611,56.3549,3.6873,4775.384540527
224,2018-05-10 20:36:20,2175,691.7042,56.418,-0.9068,4769.1323748794
225,2018-05-10 20:36:30,2185,690.8293,56.4835,-0.8749,4763.1001519801
226,2018-05-10 20:36:40,2195,690.6096,56.5527,-0.2197,4761.5853738672
227,2018-05-10 20:36:50,2205,692.4818,56.6129,1.8722,4774.4937379226
228,2018-05-10 20:37:00,2215,698.5394,56.6684,6.0575,4816.2594179258
229,2018-05-10 20:37:10,2225,701.1033,56.7103,2.5639,4833.9368853981005
230,2018-05-10 20:37:20,2235,701.4317,56.7521,0.3284,4836.2011235969
231,2018-05-10 20:37:30,2245,700.4731,56.7689,-0.9586,4829.591809536701
232,2018-05-10 20:37:40,2255,697.533,56.775,-2.9401,4809.320534481
233,2018-05-10 20:37:50,2265,697.6992,56.7514,0.1662,4810.4664430944
234,2018-05-10 20:38:00,2275,698.1081,56.7065,0.4089,4813.285709231701
235,2018-05-10 20:38:10,2285,698.0393,56.6448,-0.0688,4812.8113499501005
236,2018-05-10 20:38:20,2295,697.0619,56.5649,-0.9774,4806.0724144583
237,2018-05-10 20:38:30,2305,695.1465,56.5063,-1.9154,4792.8661969005
238,2018-05-10 20:38:40,2315,692.5548,56.4378,-2.5918,4774.9970551836
239,2018-05-10 20:38:50,2325,690.9422,56.3846,-1.6125,4763.8785700454
240,2018-05-10 20:39:00,2335,688.9222,56.3237,-2.02,4749.9511609054
241,2018-05-10 20:39:10,2345,689.8155,56.275,0.8932,4756.1102473335
242,2018-05-10 20:39:20,2355,691.1057,56.2377,1.2902,4765.0058628149
243,2018-05-10 20:39:30,2365,692.2499,56.2157,1.1442,4772.8948437743
244,2018-05-10 20:39:40,2375,695.6717,56.2202,3.4218,4796.4873232769005
245,2018-05-10 20:39:50,2385,705.1909,56.3321,9.5192,4862.119894111301
246,2018-05-10 20:40:00,2395,713.8965,56.5946,8.7056,4922.1428906505
247,2018-05-10 20:40:10,2405,724.3797,56.9759,10.4832,4994.4220072329
248,2018-05-10 20:40:20,2415,731.3287,57.3642,6.9489,5042.333673625901
249,2018-05-10 20:40:30,2425,730.3472,57.6254,-0.9814,5035.5664696304
250,2018-05-10 20:40:40,2435,726.8244,57.7586,-3.5228,5011.2776196708
251,2018-05-10 20:40:50,2445,725.1962,57.8637,-1.6282,5000.0515763234
252,2018-05-10 20:41:00,2455,726.5962,57.9437,1.3999,5009.7042361234
253,2018-05-10 20:41:10,2465,732.112,57.9757,5.5158,5047.734336784
254,2018-05-10 20:41:20,2475,736.123,57.9529,4.011,5075.389207111
255,2018-05-10 20:41:30,2485,738.0305,57.9216,1.9074,5088.5409560885
256,2018-05-10 20:41:40,2495,739.2628,57.9094,1.2324,5097.0373651396
257,2018-05-10 20:41:50,2505,739.7139,57.9018,0.451,5100.1475900223
258,2018-05-10 20:42:00,2515,739.3715,57.9011,-0.3423,5097.7868252255
259,2018-05-10 20:42:10,2525,738.7529,57.8927,-0.6186,5093.5217285453
260,2018-05-10 20:42:20,2535,727.6067,57.8561,-11.1462,5016.671388071901
261,2018-05-10 20:42:30,2545,728.4043,57.815,0.7977,5022.1706462551
262,2018-05-10 20:42:40,2555,730.4961,57.764,2.0918,5036.5930989477
263,2018-05-10 20:42:50,2565,734.8016,57.7282,4.3055,5066.2784752112
264,2018-05-10 20:43:00,2575,734.725,57.7137,-0.0766,5065.750336825
265,2018-05-10 20:43:10,2585,734.4342,57.7312,-0.2908,5063.745341489401
266,2018-05-10 20:43:20,2595,733.9674,57.7754,-0.4669,5060.5268689218
267,2018-05-10 20:43:30,2605,733.7361,57.818,-0.2313,5058.9321116277
268,2018-05-10 20:43:40,2615,733.5331,57.8721,-0.203,5057.5324759567
269,2018-05-10 20:43:50,2625,732.7929,57.9239,-0.7402,5052.4289768253
270,2018-05-10 20:44:00,2635,739.2769,58.045,6.4839,5097.1345812132995
271,2018-05-10 20:44:10,2645,744.8933,58.269,5.6164,5135.8582944281
272,2018-05-10 20:44:20,2655,745.9666,58.5052,1.0733,5143.2584371162
273,2018-05-10 20:44:30,2665,743.5759,58.6798,-2.3908,5126.775141556301
274,2018-05-10 20:44:40,2675,739.3904,58.7979,-4.1855,5097.9171361328
275,2018-05-10 20:44:50,2685,733.25,58.8749,-6.1404,5055.58057025
276,2018-05-10 20:45:00,2695,728.0317,58.9153,-5.2183,5019.6016597969
277,2018-05-10 20:45:10,2705,722.8411,58.929,-5.1906,4983.8137341127
278,2018-05-10 20:45:20,2715,723.9237,58.9389,1.0826,4991.2779980409005
279,2018-05-10 20:45:30,2725,736.7826,58.9686,12.8589,5079.9369888282
280,2018-05-10 20:45:40,2735,748.3895,59.0319,11.6069,5159.9637438515
281,2018-05-10 20:45:50,2745,757.7846,59.1333,9.395,5224.7406753422
282,2018-05-10 20:46:00,2755,763.1871,59.253,5.4025,5261.9896000347
283,2018-05-10 20:46:10,2765,764.1661,59.3697,0.979,5268.739567137701
284,2018-05-10 20:46:20,2775,758.3367,59.4604,-5.8293,5228.5472706819
285,2018-05-10 20:46:30,2785,749.0207,59.5275,-9.3161,5164.315714469901
286,2018-05-10 20:46:40,2795,750.1664,59.5756,1.1457,5172.2150375648
287,2018-05-10 20:46:50,2805,755.0324,59.6686,4.866,5205.7649251268
288,2018-05-10 20:47:00,2815,763.0632,59.8006,8.0308,5261.1353396424
289,2018-05-10 20:47:10,2825,769.7961,59.9402,6.7329,5307.5570490477
290,2018-05-10 20:47:20,2835,775.6557,60.0584,5.8596,5347.9575671649
291,2018-05-10 20:47:30,2845,780.665,60.1393,5.0093,5382.495473405
292,2018-05-10 20:47:40,2855,782.6067,60.1881,1.9418,5395.8830230719
293,2018-05-10 20:47:50,2865,780.3804,60.2202,-2.2263,5380.5332255628
294,2018-05-10 20:48:00,2875,780.3561,60.2362,-0.0243,5380.3656829677
295,2018-05-10 20:48:10,2885,777.5014,60.2202,-2.8547,5360.6832201598
296,2018-05-10 20:48:20,2895,773.7332,60.2011,-3.7682,5334.7023968324
297,2018-05-10 20:48:30,2905,770.7564,60.1706,-2.9768,5314.1780841948
298,2018-05-10 20:48:40,2915,771.0505,60.1317,0.2941,5316.2058322285
299,2018-05-10 20:48:50,2925,774.4633,60.0943,3.4128,5339.7362589181
300,2018-05-10 20:49:00,2935,777.1271,60.0546,2.6638,5358.102512614701
301,2018-05-10 20:49:10,2945,778.689,60.0165,1.5619,5368.871433573
302,2018-05-10 20:49:20,2955,778.6142,59.9928,-0.0748,5368.3557057494
303,2018-05-10 20:49:30,2965,777.7193,59.9692,-0.8948,5362.1855877101
304,2018-05-10 20:49:40,2975,775.137,59.9432,-2.5823,5344.381256709
305,2018-05-10 20:49:50,2985,768.2598,59.9158,-6.8773,5296.964633868601
306,2018-05-10 20:50:00,2995,769.6641,59.8944,1.4043,5306.6469411237
307,2018-05-10 20:50:10,3005,770.3864,59.8761,0.7223,5311.6270241048
308,2018-05-10 20:50:20,3015,772.8416,59.8608,2.4552,5328.5550314912
309,2018-05-10 20:50:30,3025,773.708,59.8624,0.8665,5334.528648956
310,2018-05-10 20:50:40,3035,773.6994,59.8792,-0.0086,5334.4693540458
311,2018-05-10 20:50:50,3045,774.4636,59.9059,0.7642,5339.738327345201
312,2018-05-10 20:51:00,3055,775.3188,59.9455,0.8552,5345.634723531601
313,2018-05-10 20:51:10,3065,777.0068,59.9951,1.688,5357.2730733476
314,2018-05-10 20:51:20,3075,776.5988,60.0378,-0.408,5354.4600124916
315,2018-05-10 20:51:30,3085,775.9128,60.0966,-0.686,5349.7302091896
316,2018-05-10 20:51:40,3095,775.1842,60.1454,-0.7286,5344.7066892394005
317,2018-05-10 20:51:50,3105,772.8844,60.1904,-2.2998,5328.8501270908
318,2018-05-10 20:52:00,3115,769.2302,60.2263,-3.6542,5303.6553060614
319,2018-05-10 20:52:10,3125,767.9277,60.2584,-1.3025,5294.6748850689
320,2018-05-10 20:52:20,3135,767.0876,60.2904,-0.8402,5288.8825997132
321,2018-05-10 20:52:30,3145,767.5761,60.3232,0.4886,5292.2506885077
322,2018-05-10 20:52:40,3155,768.033,60.3545,0.4569,5295.400902981
323,2018-05-10 20:52:50,3165,765.7213,60.4033,-2.3117,5279.462293224101
324,2018-05-10 20:53:00,3175,765.4204,60.4613,-0.3009,5277.3876608428
325,2018-05-10 20:53:10,3185,762.3384,60.5155,-3.082,5256.1380197688
326,2018-05-10 20:53:20,3195,763.9451,60.5835,1.6067,5267.215825840701
327,2018-05-10 20:53:30,3205,768.2953,60.672,4.3502,5297.2093977421
328,2018-05-10 20:53:40,3215,774.2695,60.8392,5.9742,5338.4000550115
329,2018-05-10 20:53:50,3225,784.0628,61.127,9.7933,5405.922478739601
330,2018-05-10 20:54:00,3235,796.2511,61.5456,12.1883,5489.9578454827
331,2018-05-10 20:54:10,3245,809.4848,62.0483,13.2337,5581.2009911936
332,2018-05-10 20:54:20,3255,821.4905,62.5658,12.0057,5663.9773753085
333,2018-05-10 20:54:30,3265,831.6326,63.0636,10.142,5733.9046902782
334,2018-05-10 20:54:40,3275,838.182,63.4805,6.5494,5779.061211774
335,2018-05-10 20:54:50,3285,843.6079,63.7851,5.4259,5816.4714737803
336,2018-05-10 20:55:00,3295,847.1285,63.9917,3.5206,5840.745155274501
337,2018-05-10 20:55:10,3305,849.8224,64.1862,2.6939,5859.3189411568
338,2018-05-10 20:55:20,3315,849.713,64.3654,-0.1094,5858.564654741
339,2018-05-10 20:55:30,3325,847.8102,64.4787,-1.9028,5845.445311121401
340,2018-05-10 20:55:40,3335,847.1832,64.5361,-0.6271,5841.122298482401
341,2018-05-10 20:55:50,3345,846.9284,64.5369,-0.2548,5839.3655143988
342,2018-05-10 20:56:00,3355,847.1188,64.5116,0.1904,5840.6782761316
343,2018-05-10 20:56:10,3365,848.523,64.4718,1.4042,5850.359893911001
344,2018-05-10 20:56:20,3375,848.7284,64.4251,0.2054,5851.7760769988
345,2018-05-10 20:56:30,3385,847.1744,64.3577,-1.554,5841.0616246208
