date,hours_flowing,oil_bopd_mean,oil_bbl_h_sum,oil_cum_bbl_max,wat_bwpd_mean,bsw_pct_mean,gas_mmscfd_mean,gor_scf_bbl_mean,gor_scf_bbl_median,api_mean,whp_psig_mean,choke
2018-07-23,24,40.924166666666665,40.87,51.9,337.1666666666667,89.20833333333333,0.036000000000000004,1008.3499999999999,1008.3499999999999,,327.5,"""12/64"""""""
2018-07-24,24,60.05833333333334,60.06,112.07,236.43916666666667,79.625,0.04516666666666667,795.82625,721.095,,433.75,"""12/64"""""""
2018-07-25,24,75.21666666666667,75.21000000000001,187.28,231.0666666666667,75.41666666666667,0.05241666666666667,702.1478747416667,699.78,,482.9166666666667,"""12/64"""""""
2018-07-26,24,72.06666666666666,72.07,259.35,217.9325,75.16666666666667,0.057666666666666665,810.0279166666666,782.245,,519.1666666666666,"""12/64"""""""
2018-07-27,24,73.6275,73.63,332.98,217.24249999999998,74.66666666666667,0.06175,845.47125,833.33,,538.75,"""12/64"""""""
2018-07-28,24,79.30499999999999,79.3,412.28,219.69583333333333,73.625,0.06341666666666666,808.2833333333333,820.51,,553.3333333333334,"""12/64"""""""
2018-07-29,24,81.37,81.37,493.65,219.63,72.91666666666667,0.07075,878.9716666666667,886.095,,572.9166666666666,"""12/64"""""""
2018-07-30,24,105.305,105.3,598.95,209.69500000000002,66.5,0.07529166666666666,739.1266666666667,770.265,,585.8333333333334,"""12/64"""""""
2018-07-31,24,103.60916666666667,103.6,702.55,197.39083333333335,65.625,0.08191666666666668,827.28625,808.53,,595.4166666666666,"""12/64"""""""
2018-08-01,24,118.07666666666667,118.08,820.63,174.92333333333332,59.75,0.08395833333333334,736.4208333333332,727.27,,600.0,"""12/64"""""""
2018-08-02,24,121.87333333333333,121.88,942.51,189.12666666666667,60.666666666666664,0.08729166666666666,760.9604166666667,798.2750000000001,,607.0833333333334,"""12/64"""""""
2018-08-03,24,143.45000000000002,143.45,1085.96,164.50166666666667,53.083333333333336,0.08875,682.9945833333333,646.81,,635.8333333333334,"""12/64"""""""
2018-08-04,24,144.21833333333333,144.22,1230.18,162.35416666666666,52.708333333333336,0.09895833333333333,693.185,702.08,,726.6666666666666,"""12/64"""""""
2018-08-05,24,148.37,148.37,1378.55,135.63,47.916666666666664,0.117625,804.0420833333333,799.065,,792.9166666666666,"""12/64"""""""
2018-08-06,12,193.64166666666665,96.82,1475.37,124.36,39.083333333333336,0.14125000000000001,744.9483333333334,742.76,,863.3333333333334,"""12/64"""""""
