DEPT,CGXT,DNND,DNFD,SMTU,gr,CCLG,NPRS,NPOR,nprl,NPRD,BIT,mss
2206.4,97.141258,3480.087891,139.792343,1934.999878,54.018204,10015.951172,0.432336,0.462108,0.384285,0.350297,9.5,2202.4
2206.5,97.140358,3268.396484,173.327728,1937.499878,53.045853,12238.130859,0.435067,0.465711,0.387529,0.353295,9.5,2202.5
2206.6,97.166168,2931.496582,120.714043,1939.999878,52.52103,1676.057861,0.436511,0.467633,0.389278,0.354918,9.5,2202.6
2206.7,97.161613,3140.955322,149.326385,1941.249878,52.952324,-1939.709839,0.432961,0.462944,0.385059,0.351022,9.5,2202.7
2206.8,97.159378,3123.88623,132.337753,1939.999878,54.421688,258.760986,0.4302,0.459323,0.381827,0.348043,9.5,2202.8
2206.9,97.178841,3332.416748,155.687805,1942.499878,55.863541,263.209961,0.422099,0.448658,0.372258,0.339211,9.5,2202.9
2207.0,97.180832,3185.187256,134.572632,1943.749878,56.537155,896.949097,0.413118,0.436877,0.361722,0.329494,9.5,2203.0
2207.1,97.179283,3133.798828,149.326172,1943.749878,57.677402,2938.847168,0.402204,0.422584,0.348964,0.317732,9.5,2203.1
2207.2,97.186142,3223.520264,174.769989,1943.749878,59.177258,629.920288,0.392328,0.40979,0.337663,0.307341,9.5,2203.2
2207.3,97.18924,3432.634766,148.124405,1947.499878,60.071854,-497.666138,0.384518,0.39968,0.328737,0.299134,9.5,2203.3
2207.4,97.198006,3342.979492,158.869308,1948.749878,59.77095,-86.796875,0.381807,0.396211,0.325703,0.296348,9.5,2203.4
2207.5,97.204742,3271.410645,182.673996,1949.999878,59.28693,-1032.565186,0.388041,0.404378,0.332992,0.303067,9.5,2203.5
2207.6,97.224617,3264.503662,176.46553,1951.249878,58.859718,-342.195801,0.397374,0.416571,0.343845,0.313063,9.5,2203.6
2207.7,97.227066,3301.366943,118.742294,1951.249878,58.190971,178.38855,0.411414,0.434873,0.360113,0.328043,9.5,2203.7
2207.8,97.218719,3202.609375,158.862183,1952.499878,57.823219,-488.181152,0.425478,0.453244,0.37648,0.343128,9.5,2203.8
2207.9,97.240326,3254.391846,142.965668,1953.749878,58.238579,-1425.649902,0.43879,0.470688,0.39207,0.357508,9.5,2203.9
2208.0,97.247719,3319.208984,144.946518,1951.249878,59.319969,-1414.5,0.442478,0.475561,0.396461,0.361566,9.5,2204.0
2208.1,97.240326,3179.436035,136.606216,1952.499878,59.319195,2072.957031,0.435574,0.466673,0.388641,0.354376,9.5,2204.1
2208.2,97.252274,3174.877686,126.043839,1953.749878,59.195641,1810.955444,0.420443,0.447042,0.371253,0.338369,9.5,2204.2
2208.3,97.255142,3284.812988,160.71962,1954.999878,58.831528,-735.333374,0.402672,0.423959,0.350786,0.319522,9.5,2204.3
2208.4,97.26664,3298.368164,173.026352,1953.749878,59.498558,-781.01355,0.388213,0.405028,0.333882,0.303934,9.5,2204.4
2208.5,97.272636,3185.223877,193.807098,1954.999878,59.795898,824.036255,0.37973,0.393868,0.323871,0.294693,9.5,2204.5
2208.6,97.279968,3247.045654,136.625458,1956.249878,60.455582,1284.137817,0.383102,0.398095,0.327503,0.298016,9.5,2204.6
2208.7,97.284554,3343.549805,157.565613,1956.249878,61.357468,161.218567,0.391135,0.408385,0.336513,0.306292,9.5,2204.7
2208.8,97.285896,3141.742188,157.557907,1956.249878,62.379826,-109.637695,0.399897,0.419612,0.346346,0.315324,9.5,2204.8
2208.9,97.293854,3189.140869,140.614563,1958.749878,61.716362,-2200.066406,0.399871,0.419547,0.346267,0.315249,9.5,2204.9
2209.0,97.304169,3203.728516,141.792923,1959.999878,60.63612,-981.159546,0.396579,0.415287,0.34251,0.311796,9.5,2205.0
2209.1,97.327713,3128.150146,181.140442,1961.249878,59.927589,767.459229,0.388148,0.404397,0.332915,0.302977,9.5,2205.1
