DEPT,mss,gr,nprl,dprl,den,pe,res_ild,phi,sw,sw_m1p8,pay_6_50,pay_4_60
2260.0,2229.79,64.748347,0.194001,0.228645,2.311474,12.716698,20000000.0,0.21132299999999998,0.00024592654953327104,0.00021052326323252126,True,True
2260.025,2229.8135625,67.258705,0.192404,0.226831,2.315135,12.633646,20000000.0,0.2096175,0.00024792746897095625,0.00021206422052357624,True,True
2260.05,2229.837125,69.384044,0.1932,0.229074,2.314863,12.514603,20000000.0,0.21113700000000002,0.00024614319719906707,0.0002106901692815401,True,True
2260.075,2229.8606874999996,71.007986,0.196445,0.233479,2.311214,12.444379,20000000.0,0.214962,0.00024176336388300924,0.00020731305866572282,True,True
2260.1,2229.88425,71.668672,0.201409,0.237335,2.307363,12.445662,20000000.0,0.219372,0.00023690323389958346,0.0002035584375302887,True,True
2260.125,2229.9078125,70.431767,0.206605,0.239345,2.304784,12.52598,20000000.0,0.222975,0.00023307517088023063,0.000200595704330839,True,True
2260.15,2229.931375,67.968182,0.210358,0.238102,2.303562,12.691237,20000000.0,0.22422999999999998,0.00023177066506274553,0.0001995849725635244,True,True
2260.175,2229.9549375,65.148399,0.211412,0.236583,2.303113,12.898595,20000000.0,0.2239975,0.0002320112332817082,0.0001997714076304928,True,True
2260.2,2229.9784999999997,62.908128,0.209603,0.237005,2.302911,13.040628,20000000.0,0.223304,0.00023273177474214266,0.00020032969581359106,True,True
2260.225,2230.0020624999997,61.064881,0.205559,0.238583,2.302514,13.076997,20000000.0,0.222071,0.00023402396633067545,0.00020133047607539918,True,True
2260.25,2230.0256249999998,60.57124,0.200128,0.239873,2.301937,13.013187,20000000.0,0.2200005,0.000236226445971802,0.0002030349873812558,True,True
2260.275,2230.0491875000002,60.988065,0.19391,0.23924,2.301979,12.879744,20000000.0,0.21657500000000002,0.00023996276683375007,0.0002059229224673804,True,True
2260.3,2230.0727500000003,62.712992,0.187319,0.238284,2.302303,12.710289,20000000.0,0.2128015,0.0002442179036661839,0.00020920640059659605,True,True
2260.325,2230.0963125,64.677974,0.181475,0.236918,2.30243,12.557744,20000000.0,0.2091965,0.00024842641357297767,0.0002124482759639693,True,True
2260.35,2230.119875,66.663048,0.179011,0.237678,2.300968,12.473515,20000000.0,0.2083445,0.0002494423237811386,0.00021323002004048223,True,True
2260.375,2230.1434375,66.910947,0.181539,0.239566,2.29856,12.467014,20000000.0,0.2105525,0.0002468264980326495,0.00021121649024815549,True,True
2260.4,2230.167,65.66689,0.187738,0.243569,2.295962,12.527651,20000000.0,0.2156535,0.00024098814175062974,0.0002067146821405552,True,True
2260.425,2230.1905625,63.19239,0.194617,0.245349,2.294457,12.606086,20000000.0,0.219983,0.0002362452381639464,0.00020304952390604231,True,True
