DEPT,TVD,ROP,gr,dtc,DTS,mss,sphi_wyllie
2945.2,2328.286,29.503,64.14,69.64,,2323.5860000000002,0.15646643109540637
2945.3,2328.287,29.795,63.66,69.42,,2323.587,0.15491166077738516
2945.4,2328.288,30.057,63.18,69.21,,2323.588,0.1534275618374558
2945.5,2328.289,29.99,62.37,68.44,,2323.5890000000004,0.1479858657243816
2945.6,2328.29,29.888,61.75,67.75,,2323.59,0.1431095406360424
2945.7,2328.291,29.702,61.55,67.6,,2323.5910000000003,0.14204946996466428
2945.8,2328.292,28.079,60.95,67.44,,2323.592,0.14091872791519433
2945.9,2328.293,27.367,61.51,67.3,,2323.5930000000003,0.1399293286219081
2946.0,2328.294,26.541,61.65,68.12,,2323.594,0.14572438162544174
2946.1,2328.295,26.282,62.08,68.42,,2323.5950000000003,0.1478445229681979
2946.2,2328.297,26.066,62.43,68.61,,2323.597,0.14918727915194346
2946.3,2328.298,26.217,62.66,68.86,,2323.598,0.15095406360424027
2946.4,2328.299,26.667,62.73,69.07,,2323.599,0.15243816254416956
2946.5,2328.3,27.609,62.61,69.12,,2323.6000000000004,0.15279151943462901
2946.6,2328.301,27.922,62.32,68.8,,2323.601,0.15053003533568904
2946.7,2328.302,28.417,61.87,68.57,,2323.6020000000003,0.14890459363957592
2946.8,2328.303,29.386,61.45,68.37,,2323.603,0.14749116607773854
2946.9,2328.304,29.218,59.61,68.16,,2323.6040000000003,0.14600706713780917
2947.0,2328.305,29.28,58.62,67.32,,2323.605,0.14007067137809182
2947.1,2328.306,28.905,58.19,66.91,,2323.606,0.13717314487632506
2947.2,2328.307,28.596,57.69,66.43,,2323.607,0.13378091872791525
2947.3,2328.308,28.279,57.26,66.32,,2323.608,0.13300353356890454
2947.4,2328.308,28.452,56.98,66.23,,2323.608,0.13236749116607777
2947.5,2328.309,28.055,56.88,65.99,,2323.6090000000004,0.13067137809187276
2947.6,2328.31,27.841,58.79,66.03,,2323.61,0.13095406360424028
2947.7,2328.311,27.163,59.77,66.71,,2323.6110000000003,0.13575971731448758
2947.8,2328.312,26.574,60.44,66.83,,2323.612,0.1366077738515901
2947.9,2328.313,26.334,61.62,66.99,,2323.6130000000003,0.13773851590106004
2948.0,2328.314,25.024,62.61,67.82,,2323.614,0.14360424028268545
2948.1,2328.315,23.993,62.33,68.51,,2323.6150000000002,0.14848056537102478
2948.2,2328.316,23.179,61.8,68.74,,2323.616,0.15010600706713778
2948.3,2328.316,21.191,61.27,69.08,,2323.616,0.15250883392226147
2948.4,2328.317,18.489,60.8,69.14,,2323.617,0.15293286219081273
2948.5,2328.318,16.372,58.21,69.0,,2323.6180000000004,0.1519434628975265
2948.6,2328.319,13.633,55.2,68.66,,2323.619,0.1495406360424028
2948.7,2328.32,12.042,51.44,68.43,,2323.6200000000003,0.1479151943462898
2948.8,2328.32,10.438,50.14,67.91,,2323.6200000000003,0.14424028268551234
2948.9,2328.321,9.469,46.35,67.61,,2323.621,0.1421201413427562
2949.0,2328.322,9.39,42.38,67.22,,2323.6220000000003,0.13936395759717313
2949.1,2328.323,9.417,38.98,67.12,,2323.623,0.13865724381625444
2949.2,2328.323,9.465,39.55,67.12,,2323.623,0.13865724381625444
2949.3,2328.324,10.157,39.87,66.66,,2323.6240000000003,0.13540636042402823
2949.4,2328.325,11.883,40.94,67.68,,2323.625,0.14261484098939933
2949.5,2328.325,13.916,48.24,67.95,,2323.625,0.14452296819787988
2949.6,2328.326,17.415,50.47,68.56,,2323.626,0.14883392226148412
2949.7,2328.327,20.295,54.37,68.88,,2323.6270000000004,0.15109540636042398
2949.8,2328.327,24.307,56.1,69.94,,2323.6270000000004,0.15858657243816252
2949.9,2328.328,26.175,61.81,70.04,,2323.628,0.15929328621908131
2950.0,2328.329,26.333,62.38,70.09,,2323.6290000000004,0.15964664310954066
2950.1,2328.329,25.577,61.91,70.17,,2323.6290000000004,0.16021201413427563
2950.2,2328.33,25.309,62.56,71.4,,2323.63,0.16890459363957602
2950.3,2328.331,25.158,62.19,71.66,,2323.6310000000003,0.17074204946996463
2950.4,2328.331,24.568,61.65,71.96,,2323.6310000000003,0.1728621908127208
2950.5,2328.332,24.427,60.89,72.73,,2323.632,0.17830388692579507
2950.6,2328.332,24.987,61.06,73.94,,2323.632,0.18685512367491164
2950.7,2328.333,25.98,61.01,73.98,,2323.6330000000003,0.18713780918727918
2950.8,2328.333,26.472,60.41,74.33,,2323.6330000000003,0.1896113074204947
2950.9,2328.334,26.794,60.16,75.13,,2323.634,0.1952650176678445
2951.0,2328.335,27.235,60.38,75.53,,2323.635,0.19809187279151944
2951.1,2328.335,27.79,60.49,75.81,,2323.635,0.2000706713780919
2951.2,2328.336,27.645,59.88,76.07,,2323.636,0.2019081272084805
2951.3,2328.336,27.495,59.71,76.2,,2323.636,0.20282685512367493
2951.4,2328.337,27.115,60.19,76.85,,2323.637,0.2074204946996466
2951.5,2328.337,26.872,61.31,76.42,,2323.637,0.20438162544169614
2951.6,2328.337,26.166,61.42,75.92,,2323.637,0.2008480565371025
2951.7,2328.338,26.492,62.06,75.79,,2323.6380000000004,0.19992932862190818
2951.8,2328.338,26.817,63.72,76.17,,2323.6380000000004,0.2026148409893993
2951.9,2328.339,27.581,63.09,75.81,,2323.639,0.2000706713780919
2952.0,2328.339,27.205,62.87,76.7,,2323.639,0.20636042402826857
2952.1,2328.34,27.269,62.0,77.5,,2323.6400000000003,0.21201413427561838
2952.2,2328.34,26.823,61.58,78.07,,2323.6400000000003,0.21604240282685508
2952.3,2328.34,25.89,60.1,78.16,,2323.6400000000003,0.21667844522968197
2952.4,2328.341,25.226,58.49,78.24,,2323.641,0.21724381625441694
2952.5,2328.341,24.653,57.52,78.58,,2323.641,0.21964664310954063
2952.6,2328.342,24.918,57.63,78.28,,2323.6420000000003,0.21752650176678445
2952.7,2328.342,24.003,56.91,77.58,,2323.6420000000003,0.21257950530035336
2952.8,2328.342,23.582,57.54,77.28,,2323.6420000000003,0.21045936395759718
2952.9,2328.342,23.81,57.7,77.24,,2323.6420000000003,0.21017667844522964
2953.0,2328.343,20.15,58.86,76.49,,2323.643,0.2048763250883392
2953.1,2328.343,18.821,59.66,76.47,,2323.643,0.20473498233215548
2953.2,2328.343,18.381,60.37,75.67,,2323.643,0.19908127208480567
2953.3,2328.344,17.575,60.98,75.78,,2323.6440000000002,0.19985865724381627
2953.4,2328.344,16.619,62.52,74.88,,2323.6440000000002,0.19349823321554768
2953.5,2328.344,16.31,62.15,74.43,,2323.6440000000002,0.19031802120141347
2953.6,2328.344,16.863,60.68,73.36,,2323.6440000000002,0.18275618374558303
2953.7,2328.345,17.526,59.05,72.71,,2323.645,0.17816254416961128
2953.8,2328.345,17.939,57.51,71.41,,2323.645,0.16897526501766783
2953.9,2328.345,17.715,56.54,71.18,,2323.645,0.16734982332155482
2954.0,2328.345,20.62,56.13,70.36,,2323.645,0.1615547703180212
2954.1,2328.345,20.636,58.38,71.41,,2323.645,0.16897526501766783
2954.2,2328.346,20.765,58.4,71.86,,2323.646,0.17215547703180212
2954.3,2328.346,21.686,59.16,72.39,,2323.646,0.17590106007067138
2954.4,2328.346,22.583,59.78,73.89,,2323.646,0.1865017667844523
2954.5,2328.346,23.747,60.6,74.38,,2323.646,0.18996466431095402
2954.6,2328.346,25.846,60.82,75.71,,2323.646,0.1993639575971731
2954.7,2328.346,27.622,61.58,75.66,,2323.646,0.19901060070671375
2954.8,2328.346,28.829,61.51,75.61,,2323.646,0.1986572438162544
2954.9,2328.347,29.912,61.94,75.57,,2323.6470000000004,0.19837455830388687
2955.0,2328.347,29.504,62.14,75.58,,2323.6470000000004,0.19844522968197878
2955.1,2328.347,28.767,62.52,75.58,,2323.6470000000004,0.19844522968197878
2955.2,2328.347,27.877,63.06,75.61,,2323.6470000000004,0.1986572438162544
2955.3,2328.347,26.838,63.58,75.63,,2323.6470000000004,0.19879858657243812
2955.4,2328.347,26.272,66.02,75.73,,2323.6470000000004,0.19950530035335692
2955.5,2328.347,25.662,66.15,75.43,,2323.6470000000004,0.19738515901060075
2955.6,2328.347,25.657,65.83,75.35,,2323.6470000000004,0.1968197879858657
2955.7,2328.347,25.797,64.84,75.82,,2323.6470000000004,0.2001413427561837
2955.8,2328.347,25.754,64.28,75.82,,2323.6470000000004,0.2001413427561837
2955.9,2328.347,26.472,64.51,75.82,,2323.6470000000004,0.2001413427561837
2956.0,2328.347,27.707,65.39,76.12,,2323.6470000000004,0.20226148409893996
2956.1,2328.347,28.321,64.76,76.48,,2323.6470000000004,0.20480565371024737
2956.2,2328.347,28.859,64.73,77.12,,2323.6470000000004,0.20932862190812723
2956.3,2328.347,29.081,65.31,77.31,,2323.6470000000004,0.2106713780918728
2956.4,2328.347,28.734,65.41,77.54,,2323.6470000000004,0.2122968197879859
2956.5,2328.347,28.047,65.7,79.33,,2323.6470000000004,0.22494699646643107
2956.6,2328.346,27.905,65.59,78.72,,2323.646,0.22063604240282686
2956.7,2328.346,27.132,64.5,78.6,,2323.646,0.21978798586572434
2956.8,2328.346,26.304,64.81,78.42,,2323.646,0.21851590106007068
2956.9,2328.346,25.69,63.46,76.97,,2323.646,0.20826855123674912
2957.0,2328.346,25.38,61.12,76.45,,2323.646,0.20459363957597176
2957.1,2328.346,24.908,60.38,75.83,,2323.646,0.2002120141342756
2957.2,2328.346,23.935,59.31,74.58,,2323.646,0.1913780918727915
2957.3,2328.345,23.501,59.08,74.14,,2323.645,0.18826855123674913
2957.4,2328.345,23.595,59.77,73.89,,2323.645,0.1865017667844523
2957.5,2328.345,23.807,61.69,73.38,,2323.645,0.18289752650176674
2957.6,2328.345,23.436,63.55,73.39,,2323.645,0.18296819787985866
2957.7,2328.345,23.266,66.09,74.78,,2323.645,0.192791519434629
2957.8,2328.344,23.927,66.8,75.13,,2323.6440000000002,0.1952650176678445
2957.9,2328.344,24.605,68.62,76.13,,2323.6440000000002,0.20233215547703176
2958.0,2328.344,25.033,67.97,76.23,,2323.6440000000002,0.20303886925795056
2958.1,2328.344,25.441,67.93,76.5,,2323.6440000000002,0.2049469964664311
2958.2,2328.343,25.965,67.13,75.32,,2323.643,0.19660777385159006
2958.3,2328.343,26.109,66.67,74.79,,2323.643,0.19286219081272088
2958.4,2328.343,25.981,65.15,74.9,,2323.643,0.19363957597173148
2958.5,2328.342,25.675,63.82,74.37,,2323.6420000000003,0.18989399293286222
2958.6,2328.342,24.887,63.78,74.74,,2323.6420000000003,0.19250883392226145
2958.7,2328.342,24.424,63.46,73.91,,2323.6420000000003,0.186643109540636
2958.8,2328.341,24.374,62.91,75.03,,2323.641,0.1945583038869258
2958.9,2328.341,24.302,62.15,75.86,,2323.641,0.20042402826855124
2959.0,2328.341,24.132,62.07,76.28,,2323.641,0.2033922261484099
2959.1,2328.34,24.289,61.42,76.53,,2323.6400000000003,0.2051590106007067
2959.2,2328.34,24.158,60.07,76.23,,2323.6400000000003,0.20303886925795056
2959.3,2328.34,13.064,59.12,75.51,,2323.6400000000003,0.19795053003533572
2959.4,2328.339,11.876,57.99,73.34,,2323.639,0.1826148409893993
2959.5,2328.339,10.533,57.98,72.79,,2323.639,0.17872791519434633
2959.6,2328.338,9.394,57.46,71.04,,2323.6380000000004,0.1663604240282686
2959.7,2328.338,8.392,57.63,71.77,,2323.6380000000004,0.17151943462897523
2959.8,2328.337,7.974,58.26,72.17,,2323.637,0.17434628975265018
2959.9,2328.337,9.007,59.35,73.47,,2323.637,0.18353356890459363
2960.0,2328.337,10.265,59.67,74.03,,2323.637,0.18749116607773852
2960.1,2328.336,11.389,59.92,75.38,,2323.636,0.19703180212014132
2960.2,2328.336,12.816,61.06,76.61,,2323.636,0.20572438162544168
