DEPT,gr,GR_NRM,res_ln,MINV,MNOR,nphi,res_sn,SP,SP_NRM,mss
2298.9,102.167,145.71,942.798,,,,,63.9,-48.435,2294.9
2299.0,104.546,150.0,942.768,,,,,68.182,-45.818,2295.0
2299.1,104.546,150.0,942.737,,,,,68.182,-45.818,2295.1
2299.2,104.273,149.508,942.707,,,,,67.691,-46.118,2295.2
2299.3,103.788,148.634,942.677,,,,,66.818,-46.652,2295.3
2299.4,101.485,144.48,942.646,,,,,62.673,-49.186,2295.4
2299.5,100.606,142.895,942.616,,,,,61.091,-50.153,2295.5
2299.6,98.212,138.578,942.585,,,,,56.782,-52.787,2295.6
2299.7,97.432,137.171,942.555,,,,,55.377,-53.645,2295.7
2299.8,95.636,133.933,942.524,,,,,52.145,-55.621,2295.8
2299.9,93.621,130.299,942.494,,,,,48.518,-57.838,2295.9
2300.0,91.667,126.774,942.463,,,,,45.0,-59.989,2296.0
2300.1,90.046,123.85,942.433,,,,,42.082,-61.773,2296.1
2300.2,89.076,122.101,942.864,,,,,40.336,-62.84,2296.2
2300.3,87.121,118.576,943.47,,,,,36.818,-64.99,2296.3
2300.4,87.121,118.576,944.076,,,,,36.818,-64.99,2296.4
2300.5,87.121,118.576,944.682,,,,,36.818,-64.99,2296.5
2300.6,86.485,117.429,945.288,,,,,35.673,-65.69,2296.6
2300.7,85.606,115.844,945.894,,,,,34.091,-66.657,2296.7
2300.8,85.606,115.844,946.5,,,,,34.091,-66.657,2296.8
2300.9,85.606,115.844,947.106,,,,,34.091,-66.657,2296.9
2301.0,85.076,114.888,947.712,,,,,33.136,-67.241,2297.0
2301.1,84.367,113.61,948.317,,,,,31.861,-68.02,2297.1
2301.2,84.091,113.111,948.923,,,,,31.364,-68.325,2297.2
2301.3,84.091,113.111,949.529,,,,,31.364,-68.325,2297.3
2301.4,84.091,113.111,950.135,,,,,31.364,-68.325,2297.4
2301.5,86.439,117.347,950.741,,,,,35.591,-65.74,2297.5
2301.6,93.227,129.588,951.347,,,,,47.809,-58.272,2297.6
2301.7,93.822,130.661,951.953,,,,,48.88,-57.617,2297.7
2301.8,92.985,129.151,952.559,,,,,47.373,-58.538,2297.8
2301.9,92.424,128.14,953.165,,,,,46.364,-59.155,2297.9
2302.0,92.424,128.14,953.771,,,,,46.364,-59.155,2298.0
2302.1,92.792,128.803,954.377,,,,,47.025,-58.751,2298.1
2302.2,93.591,130.244,954.983,,,,,48.464,-57.871,2298.2
2302.3,94.697,132.239,955.588,,,,,50.455,-56.654,2298.3
2302.4,94.697,132.239,956.194,,,,,50.455,-56.654,2298.4
2302.5,95.454,133.605,956.8,,,,,51.818,-55.821,2298.5
2302.6,95.454,133.605,957.406,,,,,51.818,-55.821,2298.6
2302.7,92.296,127.908,958.012,,,,,46.132,-59.297,2298.7
2302.8,90.909,125.407,958.618,,,,,43.636,-60.822,2298.8
2302.9,92.068,127.498,959.224,,,,,45.723,-59.547,2298.9
2303.0,95.341,133.4,959.83,,,,,51.614,-55.946,2299.0
2303.1,97.22,136.788,960.436,,,,,54.995,-53.879,2299.1
2303.2,94.697,132.239,961.042,,,,,50.455,-56.654,2299.2
2303.3,92.856,128.919,961.648,,,,,47.141,-58.68,2299.3
2303.4,90.621,124.888,962.254,,,,,43.118,-61.139,2299.4
2303.5,90.151,124.041,962.86,,,,,42.273,-61.656,2299.5
2303.6,92.091,127.539,963.465,,,,,45.764,-59.522,2299.6
2303.7,93.318,129.752,964.071,,,,,47.973,-58.172,2299.7
2303.8,95.197,133.141,964.677,,,,,51.355,-56.104,2299.8
2303.9,93.591,130.244,965.283,,,,,48.464,-57.871,2299.9
2304.0,91.818,127.047,965.889,,,,,45.273,-59.822,2300.0
2304.1,90.909,125.407,966.495,,,,,43.636,-60.822,2300.1
2304.2,91.621,126.692,967.101,,,,,44.918,-60.039,2300.2
2304.3,91.667,126.774,967.707,,,,,45.0,-59.989,2300.3
2304.4,93.182,129.506,968.313,,,,,47.727,-58.322,2300.4
2304.5,90.227,124.178,968.919,,,,,42.409,-61.572,2300.5
2304.6,86.871,118.125,969.525,,,,,36.368,-65.265,2300.6
2304.7,85.087,114.908,970.13,,,,,33.157,-67.228,2300.7
2304.8,83.303,111.69,970.736,,,,,29.945,-69.191,2300.8
2304.9,81.167,107.838,971.342,,,,,26.1,-71.542,2300.9
2305.0,79.167,104.231,971.948,,,,,22.5,-73.743,2301.0
2305.1,79.546,104.914,972.554,,,,,23.182,-73.326,2301.1
2305.2,79.546,104.914,973.16,,,,,23.182,-73.326,2301.2
2305.3,79.864,105.488,973.766,,,,,23.755,-72.976,2301.3
2305.4,81.061,107.646,974.372,,,,,25.909,-71.659,2301.4
2305.5,81.061,107.646,974.978,,,,,25.909,-71.659,2301.5
2305.6,81.061,107.646,975.584,,,,,25.909,-71.659,2301.6
2305.7,81.818,109.013,976.19,,,,,27.273,-70.825,2301.7
2305.8,78.03,102.181,976.796,,,,,20.454,-74.993,2301.8
2305.9,76.121,98.738,977.402,,,,,17.018,-77.094,2301.9
2306.0,74.242,95.35,978.007,,,0.12,,13.636,-79.161,2302.0
2306.1,74.242,95.35,978.613,,,0.12,,13.636,-79.161,2302.1
2306.2,74.5,95.815,979.219,,,0.12,,14.1,-78.877,2302.2
2306.3,76.379,99.203,979.825,,,0.121,,17.482,-76.81,2302.3
2306.4,77.273,100.815,980.431,,,0.121,,19.091,-75.827,2302.4
2306.5,77.273,100.815,981.037,,,0.121,,19.091,-75.827,2302.5
2306.6,74.924,96.58,981.643,,,0.122,,14.864,-78.411,2302.6
2306.7,72.583,92.358,982.249,,,0.122,,10.65,-80.986,2302.7
