DEPT,CGXT,SMTU,gr,nprl,CLDC,DCOR,den,pe,dprl,GRGM,HVOL,AVOL,NPOR,NPRS,NPRD,DPOR,DPRS,DPRD,HDEN,CILS,CILM,CILD,res_ilm,res_ild,BIT,mss
2365.35,95.387404,2518.0,36.086988,0.0453,6.045354,0.046895,2.548389,4.861398,0.119266,66.880121,0.000463,0.000207,0.036137,0.079982,0.035256,0.119266,0.087239,0.194623,2.506055,350.039136,99.429657,68.051701,10.060358,14.695437,6.125,2329.3357758620687
2365.375,95.365416,2516.75,33.981232,0.046094,6.049507,0.042585,2.554088,4.92263,0.109607,64.261448,0.000465,0.000208,0.036917,0.081035,0.036021,0.109607,0.077229,0.18579,2.522573,343.828265,98.439209,68.274063,10.16224,14.648002,6.125,2329.359439655172
2365.4,95.350102,2515.5,32.098896,0.046477,6.06191,0.038416,2.561697,5.014078,0.092842,63.880879,0.000467,0.000211,0.037328,0.081543,0.03639,0.092842,0.059854,0.17046,2.55124,336.45094,97.213014,68.512418,10.290302,14.596837,6.125,2329.383103448276
2365.425,95.365268,2513.5,30.97915,0.046232,6.081819,0.034022,2.56948,5.086683,0.073908,65.450122,0.00047,0.000214,0.037162,0.081218,0.036154,0.073908,0.040232,0.153146,2.583617,328.260382,95.802568,68.667854,10.442704,14.563343,6.125,2329.4067672413794
2365.45,95.38604,2511.75,30.674976,0.045547,6.101335,0.028799,2.575234,5.132545,0.053977,67.760422,0.000473,0.000216,0.036587,0.080309,0.035494,0.053977,0.019576,0.13492,2.6177,320.566461,94.225922,68.704654,10.621215,14.555393,6.125,2329.4304310344824
2365.475,95.414638,2509.75,30.802578,0.044563,6.113466,0.022629,2.578203,5.153399,0.045924,69.519946,0.000474,0.000217,0.035725,0.079001,0.034545,0.045924,0.01123,0.127556,2.63147,314.018439,92.48942,68.580991,10.823732,14.581661,6.125,2329.454094827586
2365.5,95.418333,2508.75,30.822808,0.043268,6.118589,0.016057,2.579555,5.194513,0.049774,70.708153,0.000475,0.000218,0.03456,0.07728,0.033296,0.049774,0.01522,0.131077,2.624886,307.961249,91.026817,68.404634,10.994979,14.61915,6.125,2329.4777586206897
2365.525,95.410301,2522.999854,30.204239,0.041709,6.122087,0.009427,2.579879,5.252063,0.06202,70.925641,0.000475,0.000219,0.033138,0.075203,0.031793,0.06202,0.027912,0.142275,2.603945,301.577747,90.162889,68.258859,11.095597,14.65022,6.125,2329.501422413793
2365.55,95.400682,2532.499756,28.764248,0.03992,6.128,0.003331,2.580326,5.312456,0.065254,70.038203,0.000476,0.00022,0.031495,0.072808,0.030064,0.065254,0.031264,0.145233,2.598415,294.96944,90.052399,68.142752,11.108303,14.675166,6.125,2329.5250862068965
2365.575,95.41129,2518.249902,26.743185,0.037858,6.135923,-0.001395,2.582503,5.332911,0.063289,69.361275,0.000478,0.000221,0.029595,0.07004,0.028072,0.063289,0.029227,0.143436,2.601775,288.063757,90.60842,67.924725,11.041555,14.722742,6.125,2329.5487499999995
