DEPTH,gr,neut_counts,mss
2222.4749,3.5847,121.9464,2216.4749
2222.6272,3.6636,115.4302,2216.6272
2222.7795,3.7953,114.9647,2216.7795
2222.9319,3.8871,115.9319,2216.9319
2223.0845,3.8443,116.5926,2217.0845
2223.2368,3.7564,118.1803,2217.2368
2223.3892,3.6144,120.6588,2217.3892
2223.5415,3.4458,122.9273,2217.5415
2223.6938,3.2879,125.9628,2217.6938
2223.8464,3.1723,130.3214,2217.8464
2223.9988,3.1289,136.5867,2217.9988
2224.1511,3.2156,141.6804,2218.1511
2224.3035,3.3889,141.9605,2218.3035
2224.4561,3.5478,139.4718,2218.4561
2224.6084,3.7212,136.7059,2218.6084
2224.7607,3.8047,133.5377,2218.7607
2224.9131,3.5975,129.859,2218.9131
2225.0657,3.3957,126.1354,2219.0657
2225.218,3.2823,123.8082,2219.218
2225.3704,3.2036,125.67,2219.3704
2225.5227,3.1523,129.3935,2219.5227
2225.675,3.1241,132.6516,2219.675
2225.8276,3.0995,137.3061,2219.8276
2225.98,3.1167,138.237,2219.98
2226.1323,3.1593,138.7024,2220.1323
2226.2847,3.2032,139.6333,2220.2847
2226.4373,3.2595,140.8273,2220.4373
2226.5896,3.3305,143.4006,2220.5896
2226.7419,3.4605,147.0466,2220.7419
2226.8943,3.3882,149.2607,2220.8943
2227.0469,3.2824,144.1095,2221.0469
2227.1992,3.4459,138.0413,2221.1992
2227.3516,3.5759,134.5434,2221.3516
2227.5039,3.6481,132.2735,2221.5039
2227.6562,3.7203,129.4339,2221.6562
2227.8088,3.689,127.4456,2221.8088
2227.9612,3.6327,127.0663,2221.9612
2228.1135,3.5908,129.6292,2222.1135
2228.2659,3.555,135.6336,2222.2659
2228.4185,3.5214,141.0799,2222.4185
2228.5708,3.465,146.6149,2222.5708
2228.7231,3.364,147.1441,2222.7231
2228.8755,3.1918,144.7532,2222.8755
2229.0278,2.992,142.4259,2223.0278
2229.1804,2.8095,140.0987,2223.1804
2229.3328,2.9617,137.3061,2223.3328
2229.4851,3.1709,135.9097,2223.4851
2229.6375,3.1417,135.7599,2223.6375
2229.79,3.0261,138.7024,2223.79
2229.9424,2.9104,141.6711,2223.9424
2230.0947,2.8237,150.3682,2224.0947
2230.2471,2.7658,162.0365,2224.2471
2230.3997,2.7224,171.0957,2224.3997
2230.552,2.679,167.8999,2224.552
2230.7043,2.6413,163.8784,2224.7043
2230.8567,2.5906,158.5304,2224.8567
2231.009,2.527,150.3533,2225.009
2231.1616,2.6746,144.2877,2225.1616
2231.314,2.8322,147.9435,2225.314
2231.4663,2.9396,152.2108,2225.4663
2231.6187,3.0052,157.1114,2225.6187
2231.7712,3.0616,160.9634,2225.7712
2231.9236,3.1034,164.8153,2225.9236
2232.0759,3.1576,168.6672,2226.0759
2232.2283,3.2002,172.8111,2226.2283
2232.3809,3.2427,177.0902,2226.3809
2232.5332,3.2854,178.4907,2226.5332
2232.6855,3.3432,168.8364,2226.6855
2232.8379,3.4009,158.1404,2226.8379
2232.9902,3.4731,145.8967,2226.9902
2233.1428,3.4793,141.1984,2227.1428
2233.2952,3.3574,138.3817,2227.2952
2233.4475,3.1984,136.1638,2227.4475
2233.5999,3.0683,132.4486,2227.5999
2233.7524,2.9769,128.9531,2227.7524
2233.9048,2.8788,133.5097,2227.9048
2234.0571,2.7522,138.7372,2228.0571
2234.2095,2.577,144.6982,2228.2095
2234.3621,2.445,145.4762,2228.3621
2234.5144,2.5516,139.0352,2228.5144
2234.6667,2.7488,132.7,2228.6667
2234.8191,2.9362,130.9108,2228.8191
2234.9714,3.0512,140.2393,2228.9714
2235.124,3.158,145.1142,2229.124
2235.2764,3.2133,148.8295,2229.2764
2235.4287,3.2559,153.5145,2229.4287
2235.5811,3.2845,152.1091,2229.5811
2235.7336,3.3134,150.2333,2229.7336
2235.886,3.3422,146.0054,2229.886
2236.0383,3.3855,141.307,2230.0383
2236.1907,3.4433,137.5495,2230.1907
2236.3433,3.5155,135.9909,2230.3433
2236.4956,3.4432,142.7359,2230.4956
2236.6479,3.3736,148.4971,2230.6479
2236.8003,3.2666,156.1694,2230.8003
2236.9526,3.212,153.3683,2230.9526
2237.1052,3.2957,148.7784,2231.1052
2237.2576,3.388,144.3775,2231.2576
2237.4099,3.4285,140.709,2231.4099
2237.5623,3.2913,138.2601,2231.5623
2237.7148,3.1396,136.0757,2231.7148
2237.8672,3.0671,134.6922,2231.8672
2238.0195,3.3314,133.7788,2232.0195
2238.1719,3.356,132.8667,2232.1719
2238.3245,3.0463,131.9838,2232.3245
2238.4768,2.9509,131.9898,2232.4768
2238.6292,3.3125,132.9364,2232.6292
2238.7815,3.3719,134.8239,2232.7815
2238.9338,3.2835,137.1819,2232.9338
2239.0864,3.3847,140.0103,2233.0864
2239.2388,3.6303,145.1908,2233.2388
2239.3911,3.8759,155.0755,2233.3911
2239.5435,3.7169,177.7514,2233.5435
2239.696,3.5487,203.9845,2233.696
2239.8484,3.3081,230.2176,2233.8484
2240.0007,2.8805,258.1201,2234.0007
2240.1531,2.9232,265.0435,2234.1531
2240.3057,3.037,272.4373,2234.3057
2240.458,3.1935,279.8312,2234.458
2240.6104,3.4353,287.2251,2234.6104
2240.7627,3.3073,292.8869,2234.7627
2240.915,3.1366,290.2054,2234.915
2241.0676,3.0098,283.0153,2235.0676
2241.22,2.8313,275.8252,2235.22
2241.3723,2.657,270.1205,2235.3723
2241.5247,2.5662,265.0669,2235.5247
2241.6772,2.4467,259.9612,2235.6772
2241.8296,2.3089,251.6028,2235.8296
2241.9819,2.1879,235.9729,2235.9819
2242.1343,2.0636,211.0484,2236.1343
2242.2869,1.9226,186.124,2236.2869
2242.4392,1.6714,158.483,2236.4392
2242.5916,1.5576,151.903,2236.5916
2242.7439,1.4865,142.5005,2236.7439
2242.8962,1.5576,131.2162,2236.8962
2243.0488,1.6003,133.0063,2237.0488
2243.2012,1.6145,145.1139,2237.2012
2243.3535,1.6145,149.8199,2237.3535
2243.5059,1.6362,152.7985,2237.5059
2243.6584,1.6637,158.3827,2237.6584
2243.8108,1.7254,170.6717,2237.8108
2243.9631,1.7636,185.6441,2237.9631
2244.1155,1.9533,184.7657,2238.1155
2244.2681,2.1937,180.2668,2238.2681
2244.4204,2.4341,175.0882,2238.4204
2244.5728,2.6413,168.3133,2238.5728
2244.7251,2.5272,161.5385,2238.7251
2244.8774,2.9855,156.0339,2238.8774
2245.03,3.4722,154.3401,2239.03
2245.1824,3.6585,164.5025,2239.1824
2245.3347,3.5301,171.2773,2239.3347
2245.4871,3.4733,187.7911,2239.4871
2245.6396,3.3877,196.2597,2239.6396
2245.792,3.3737,209.8095,2239.792
2245.9443,3.2883,217.0078,2239.9443
2246.0967,3.0025,208.9626,2240.0967
2246.2493,2.6452,202.6111,2240.2493
2246.4016,2.4167,196.2597,2240.4016
2246.554,2.3311,188.9345,2240.554
2246.7063,2.4031,184.0398,2240.7063
2246.8586,2.5036,179.145,2240.8586
2247.0112,2.5754,183.1334,2241.0112
2247.1636,2.5472,190.7551,2241.1636
2247.3159,2.4188,186.5208,2241.3159
2247.4683,2.3333,181.4397,2241.4683
2247.6208,2.3623,175.9351,2241.6208
2247.7732,2.4341,172.1242,2241.7732
2247.9255,2.3057,182.2865,2241.9255
2248.0779,2.2917,185.674,2242.0779
2248.2305,2.3065,186.5208,2242.2305
2248.3828,2.3354,188.638,2242.3828
2248.5352,2.3929,194.9894,2242.5352
2248.6875,2.4648,198.8003,2242.6875
2248.8398,2.5653,190.7551,2242.8398
2248.9924,2.4941,174.6648,2242.9924
2249.1448,2.3085,155.6104,2243.1448
2249.2971,2.223,142.9075,2243.2971
2249.4495,2.1519,138.6732,2243.4495
2249.6021,2.1378,136.5561,2243.6021
2249.7544,2.2098,141.6373,2243.7544
2249.9067,2.2531,152.223,2243.9067
2250.0591,2.3392,157.3042,2244.0591
2250.2117,2.5398,162.3853,2244.2117
2250.364,2.5115,168.3133,2244.364
2250.5164,2.469,156.0339,2244.5164
2250.6687,2.4122,141.2138,2244.6687
2250.821,2.3553,137.403,2244.821
2250.9736,2.3127,136.9795,2244.9736
2251.126,2.2844,134.0155,2245.126
2251.2783,2.2704,127.6641,2245.2783
2251.4307,2.328,120.0423,2245.4307
2251.5833,2.4858,111.5737,2245.5833
2251.7356,2.5863,111.1503,2245.7356
2251.8879,2.7154,115.3846,2245.8879
2252.0403,2.8588,121.7361,2246.0403
2252.1929,2.6588,111.1503,2246.1929
2252.3452,2.9167,113.2675,2246.3452
2252.4976,3.0458,119.6189,2246.4976
2252.6499,3.1892,128.9344,2246.6499
2252.8022,3.4048,123.8532,2246.8022
2252.9548,3.6191,118.7721,2246.9548
2253.1072,3.5193,116.2315,2247.1072
2253.2595,3.4051,118.3486,2247.2595
2253.4119,3.5057,122.1595,2247.4119
2253.5645,3.7779,126.8172,2247.5645
2253.7168,4.05,130.2047,2247.7168
2253.8691,4.1791,134.0155,2247.8691
2254.0215,4.0364,137.403,2248.0215
2254.1741,3.9367,137.8264,2248.1741
2254.3264,4.2088,133.1687,2248.3264
2254.4788,4.1376,127.2406,2248.4788
2254.6311,3.7946,127.6641,2248.6311
2254.7834,3.9666,132.7452,2248.7834
2254.936,4.0957,140.7904,2248.936
2255.0884,4.0818,132.7452,2249.0884
2255.2407,4.0392,128.0875,2249.2407
2255.3931,3.9824,125.5469,2249.3931
2255.5457,3.8969,124.2766,2249.5457
2255.698,3.7968,124.2766,2249.698
2255.8503,3.826,125.9704,2249.8503
2256.0027,4.0409,128.0875,2250.0027
2256.1553,3.8839,130.2047,2250.1553
2256.3076,3.5838,133.5921,2250.3076
2256.46,3.7845,138.2498,2250.46
2256.6123,4.0424,146.7184,2250.6123
2256.7646,4.1571,143.7544,2250.7646
2256.9172,3.7999,137.8264,2250.9172
2257.0696,3.5999,131.0515,2251.0696
2257.2219,3.5286,118.3486,2251.2219
2257.3743,3.7436,113.2675,2251.3743
2257.5269,3.9442,117.5018,2251.5269
2257.6792,3.587,124.2766,2251.6792
2257.8315,3.4728,127.6641,2251.8315
