mss,rt,phi_mean,phi_den,sep_pu,sw|phi_mean|m1.8|clay0|A,sw|phi_mean|m1.8|clay0|B,sw|phi_mean|m1.8|clay0|C,sw|phi_mean|m1.8|clay20|A,sw|phi_mean|m1.8|clay20|B,sw|phi_mean|m1.8|clay20|C,sw|phi_mean|m1.8|clay25|A,sw|phi_mean|m1.8|clay25|B,sw|phi_mean|m1.8|clay25|C,sw|phi_mean|m1.8|clay30|A,sw|phi_mean|m1.8|clay30|B,sw|phi_mean|m1.8|clay30|C,sw|phi_mean|m2.0|clay0|A,sw|phi_mean|m2.0|clay0|B,sw|phi_mean|m2.0|clay0|C,sw|phi_mean|m2.0|clay20|A,sw|phi_mean|m2.0|clay20|B,sw|phi_mean|m2.0|clay20|C,sw|phi_mean|m2.0|clay25|A,sw|phi_mean|m2.0|clay25|B,sw|phi_mean|m2.0|clay25|C,sw|phi_mean|m2.0|clay30|A,sw|phi_mean|m2.0|clay30|B,sw|phi_mean|m2.0|clay30|C,sw|phi_mean|m2.2|clay0|A,sw|phi_mean|m2.2|clay0|B,sw|phi_mean|m2.2|clay0|C,sw|phi_mean|m2.2|clay20|A,sw|phi_mean|m2.2|clay20|B,sw|phi_mean|m2.2|clay20|C,sw|phi_mean|m2.2|clay25|A,sw|phi_mean|m2.2|clay25|B,sw|phi_mean|m2.2|clay25|C,sw|phi_mean|m2.2|clay30|A,sw|phi_mean|m2.2|clay30|B,sw|phi_mean|m2.2|clay30|C,sw|phi_den|m1.8|clay0|A,sw|phi_den|m1.8|clay0|B,sw|phi_den|m1.8|clay0|C,sw|phi_den|m1.8|clay20|A,sw|phi_den|m1.8|clay20|B,sw|phi_den|m1.8|clay20|C,sw|phi_den|m1.8|clay25|A,sw|phi_den|m1.8|clay25|B,sw|phi_den|m1.8|clay25|C,sw|phi_den|m1.8|clay30|A,sw|phi_den|m1.8|clay30|B,sw|phi_den|m1.8|clay30|C,sw|phi_den|m2.0|clay0|A,sw|phi_den|m2.0|clay0|B,sw|phi_den|m2.0|clay0|C,sw|phi_den|m2.0|clay20|A,sw|phi_den|m2.0|clay20|B,sw|phi_den|m2.0|clay20|C,sw|phi_den|m2.0|clay25|A,sw|phi_den|m2.0|clay25|B,sw|phi_den|m2.0|clay25|C,sw|phi_den|m2.0|clay30|A,sw|phi_den|m2.0|clay30|B,sw|phi_den|m2.0|clay30|C,sw|phi_den|m2.2|clay0|A,sw|phi_den|m2.2|clay0|B,sw|phi_den|m2.2|clay0|C,sw|phi_den|m2.2|clay20|A,sw|phi_den|m2.2|clay20|B,sw|phi_den|m2.2|clay20|C,sw|phi_den|m2.2|clay25|A,sw|phi_den|m2.2|clay25|B,sw|phi_den|m2.2|clay25|C,sw|phi_den|m2.2|clay30|A,sw|phi_den|m2.2|clay30|B,sw|phi_den|m2.2|clay30|C
2249.441125,25.96601,0.136074,0.08927,9.360800000000001,0.24413512674499357,0.19655073608469054,0.2745343134132648,0.23293553392298988,0.20930442327327453,0.24498564018085167,0.24021372638138894,0.20984587201028818,0.256748861314254,0.24339776811123726,0.2089915828857669,0.2628529100234441,0.20243570798702637,0.17388207591486413,0.33513448493109665,0.21956539331843508,0.20263960950068455,0.26908787668570516,0.22046296927546982,0.19949343337260203,0.2904697687189351,0.21934955582843668,0.19619867765583973,0.3028633759852233,0.16785874451820962,0.15382784581094017,0.4091114206950157,0.20577054131379696,0.19594006229661526,0.2883514580224114,0.2010767537232905,0.1893403373837019,0.3211112352381709,0.19651546120409424,0.1838783149262312,0.3420917555393346,0.6672032108846232,0.4019198046802238,0.40119848891061227,0.30679120645178604,0.2784239126317203,0.27829025672576907,0.35994828983884203,0.30774224113590104,0.30751960505244175,0.4021943387465741,0.3270050859145219,0.3267084862441382,0.6186274454076871,0.38497971979214085,0.5108445155428929,0.30630013550627855,0.27989991119460933,0.2975371043429188,0.3576141679905226,0.30821837879906955,0.34006806301219833,0.3973136970567944,0.3260698656525307,0.3706712051081378,0.573588241136057,0.3687536242936669,0.6504563857377732,0.305799804168217,0.2813458263207301,0.31043466038488865,0.3552032831653917,0.3086934979098164,0.36520739425636917,0.39228166754280847,0.3251334310451839,0.40827427827041335
2249.4646875,29.411589,0.1362975,0.090654,9.128699999999998,0.22905098950903,0.1844066488471831,0.25757193149502394,0.21242475244950787,0.1911284027089494,0.2232495848749532,0.2203346472270101,0.19278451214968823,0.23528227584842185,0.22416152251496427,0.19276709799310648,0.24185608270229986,0.18989684446038843,0.163111823762686,0.3143762619307827,0.20015638278550457,0.18487102943352807,0.2446481104165661,0.2022223198039477,0.18316408938897422,0.26543857588257225,0.20204784513116106,0.18089037966094476,0.27790241005292254,0.15743573783858852,0.14427607256849692,0.38370809075320955,0.1874656364188075,0.17857414306349126,0.2617094281229614,0.18440216524709374,0.17372124873040257,0.29269483812283964,0.1810069850274831,0.16944465793393235,0.31304036629151766,0.6182842738537443,0.3724512869994614,0.3717828576670512,0.277875091123526,0.25231969307715235,0.2521991708518305,0.3265866165493471,0.2797261095262201,0.27952568712396814,0.3656089168429586,0.29801833632768,0.2977506872465206,0.5723887805630968,0.35620481113334074,0.4726619736637198,0.2773005622104312,0.25340734277365595,0.2693699682150782,0.32427457223237677,0.27981931320815834,0.3085042427498678,0.3609298373918705,0.296777925994443,0.3369855433377252,0.5299001284189382,0.34066701311928194,0.6009135083569572,0.27671194754186157,0.2544768707582999,0.2809302432200218,0.3218777690074196,0.27991247285744997,0.33089163171946995,0.35609278164928576,0.29553502574084345,0.37047496565902194
2249.48825,33.59643,0.13681100000000002,0.091831,8.996,0.2135871084760713,0.1719568336965395,0.24018252088996117,0.19184502555263203,0.17314476301903323,0.20127964698719947,0.20038546185105718,0.17584549779169165,0.21361165129152526,0.20482753777174417,0.1765988084404302,0.22064918490992963,0.17700979511440842,0.15204249753077484,0.2930416135735699,0.18095530861169445,0.16747516605971974,0.2196694161483185,0.18413776178973926,0.16709707141083788,0.23995501795309482,0.1848334958605902,0.16574819575422048,0.25252107251856415,0.14669643589446832,0.13443444240309294,0.3575338745201367,0.16962653296360217,0.16175514971590033,0.234189472325494,0.16807267885912172,0.15849151351384508,0.2635048909528621,0.16573035212300133,0.1552726130826692,0.28327581540991137,0.5718192494174905,0.3444609937256624,0.3438427978968003,0.24774565520226957,0.22587009258782498,0.225766195649442,0.29216864350171995,0.25171092773621767,0.25153625312569183,0.3281935937714631,0.26929758080679905,0.269062014015717,0.5286904299819102,0.3290107723188531,0.43657714927000335,0.24718081462372193,0.2266650447948469,0.24039998168100507,0.29005703476929523,0.25158583038925014,0.2764871282132532,0.3239649184247805,0.26795282881308036,0.30318265803636607,0.4888145529189445,0.3142535447367946,0.5543219413946506,0.2465997255705888,0.2274484266367769,0.25020913769868586,0.2878602358827116,0.2514606359416212,0.2956018901914179,0.31957913704839774,0.26660424329575705,0.3320235704755841
2249.5118125,36.993859,0.13734000000000002,0.092611,8.9458,0.2028375518948823,0.16330247376568188,0.22809445238928902,0.17782925730659543,0.16095954528758485,0.18628067701437864,0.18675444122896448,0.16431908896733974,0.19877339047658177,0.19158412614464687,0.1655618382808083,0.2060963678653019,0.1680362653869297,0.14433468751635908,0.2781858389025064,0.167957563809656,0.15574781621299993,0.20257599364743162,0.17184632231196675,0.15621102855592123,0.22247388301866242,0.1730948788271512,0.15544812723643758,0.23507475016271898,0.13920591242305896,0.1275700333256249,0.3392776990201155,0.15763270176873492,0.15047672280593422,0.21531863966587214,0.15703688009743536,0.14821825555099466,0.2434498204744019,0.15536100328234762,0.1456666782262723,0.26278646224852675,0.5407973865628487,0.325773582070639,0.32518892408829014,0.2270766452847792,0.20788026021888456,0.20778842598441485,0.2685869022792922,0.2327016795848523,0.2325453207342956,0.3025887821430914,0.24984734407760087,0.24963436993244945,0.49958562804527296,0.31089848425703226,0.4125432520420926,0.22654989770981562,0.20851722101471887,0.2206168639386156,0.2666667716198954,0.23248875382495707,0.25468015190199456,0.29874215179157093,0.24850237781005205,0.2802099006664519,0.4615144339651578,0.29670259601455756,0.5233632580894968,0.22600668468896254,0.2091455091981853,0.22916085836278094,0.264664135462201,0.23227549383273408,0.2714827550005902,0.2947421487967617,0.24715261462584295,0.3057998527983434
2249.5353749999995,38.446767,0.1384005,0.093658,8.9485,0.1975953460447809,0.15908202653925246,0.22219949821773372,0.1719743633519066,0.1558259172803313,0.18004341128775292,0.18091218251927843,0.1593294682825566,0.1924493049265536,0.18579671183848417,0.16069054239613267,0.19977337450784483,0.16356761089549818,0.14049633840669412,0.2707879334824957,0.16247511787740912,0.15076830922502552,0.19551621457436968,0.1665020200015464,0.15144214716562682,0.21507409436090213,0.16787713542032717,0.15083626680178291,0.22753333282974936,0.13539976456731811,0.12408203198755323,0.3300012174098977,0.15251897151995422,0.14564803689078,0.20757993656242607,0.15216430733946723,0.14366181547586504,0.23503535718097168,0.15066950158204637,0.14130188652524006,0.2540031713037342,0.5251403805590131,0.31634188166470845,0.3157741505273615,0.21866906720695675,0.20043646805749063,0.20034904996698152,0.25885204170305093,0.22464088234994561,0.22449141185032315,0.2918528584484173,0.24142139769341492,0.24121718285375138,0.4845767088829908,0.3015582431533251,0.40014932400803066,0.2181419859949891,0.20098998065561752,0.2125060388845115,0.2569675597306937,0.2243450641661856,0.24554437892351513,0.2880903672470451,0.24000487103323884,0.2703804065389809,0.44714631646096265,0.2874654899793025,0.5070696294699074,0.21759743481822622,0.20153655216298944,0.2205960843749321,0.254998845736421,0.22404856006482993,0.2614983266180825,0.2841721787452191,0.23858262258817456,0.2947374297300318
2249.5589375,37.287338,0.140866,0.096449,8.883400000000002,0.19748052056379536,0.15898958169893024,0.22207037491210782,0.17535343993386596,0.15831377619514567,0.18394326329925093,0.18355464068686903,0.16115679633874658,0.19561251657128928,0.18791945055388268,0.1621052731324439,0.20237151641985932,0.16318416361449647,0.14016697650761278,0.27015313239777317,0.1651204506491904,0.1528210567481636,0.20044177715635011,0.1683546417034859,0.1527986732087186,0.2192547605446902,0.16923244204062857,0.15178795069616374,0.23101955987633643,0.13484404020476704,0.12357275925468934,0.3286467858363109,0.1544617026139555,0.14727637849763692,0.2135141735331339,0.15332300213975025,0.1445814759298055,0.2404050424225608,0.15138641828225283,0.1418382300050666,0.258644657063848,0.5193343788736685,0.3128443759194156,0.31228292167118693,0.22567237571841828,0.2053589945762361,0.20526283428726005,0.2659696953788652,0.22869595073656052,0.22853552692983312,0.29861550952940635,0.24458473482353524,0.24436921948562268,0.4778140428569741,0.2973497501563356,0.39456491149047385,0.22497594792673528,0.205781523651273,0.21861215804125642,0.2636867244261357,0.22807931629015032,0.25108825076461766,0.2942199469176803,0.24269955414745145,0.2750522071945387,0.43961322192163843,0.282622545660882,0.4985270041229079,0.22425328257175306,0.20620059694295131,0.22767935205028267,0.2612977314108934,0.2274602000347453,0.2685497778208382,0.2896439062836066,0.2408066395095109,0.301199778661904
2249.5825,33.32468,0.145985,0.103431,8.510800000000001,0.20228799638293815,0.16286003214807374,0.22747646739398905,0.1901635867305413,0.16946468885317836,0.20092852458257707,0.19603426942073188,0.17030259351455374,0.2102195469587953,0.1988503033298999,0.170059104723599,0.2152691619923027,0.16656112832569822,0.1430676190874912,0.2757437336823628,0.1769775998660275,0.1622902842020961,0.22182704521843358,0.17780064578227278,0.16021897702623847,0.23816150066929026,0.17725080308043986,0.15807545592139557,0.24779201290265485,0.13714412108077825,0.12568058203963436,0.33425262637562403,0.16356247433016424,0.15513119915506013,0.2393476217021711,0.1601434245510897,0.15041950951012462,0.2643251928824971,0.15699165911204663,0.14664052525077148,0.2802958446020188,0.5158543223299946,0.31074800764136873,0.3101903156946745,0.25637963835402544,0.2267128651850112,0.22657915192577596,0.2972386872653435,0.24714328313703499,0.24693881751687718,0.32881206698255494,0.2602840971569629,0.2600242305059253,0.4713066969850165,0.2933001461354118,0.389191334915255,0.2548509723917023,0.22653764524715359,0.24513862655658195,0.2932167421659989,0.24529802518100052,0.2756443801937136,0.3218585987714193,0.2567480479570079,0.29682595536763007,0.43060607037199244,0.2768319461675664,0.48831277931388606,0.2532498950470701,0.22636209828111306,0.25868619846547913,0.2890084843904112,0.24344225513769563,0.2994944310121832,0.3146616673490881,0.25320673699924956,0.3302278563556003
2249.6060625,27.169088,0.151375,0.110754,8.1242,0.21684242064893142,0.17457765279902548,0.24384317761002217,0.2184698344638156,0.19159979202654365,0.23297166894393892,0.22102651261043832,0.18961084438933723,0.23882496537834,0.22172156287893005,0.18770081765602867,0.24153541247231902,0.1778988726301014,0.1528061703314639,0.2945134909327988,0.20035282454404016,0.18171705591164847,0.26160802267517747,0.1978103920816056,0.17677279031538662,0.2741583292261546,0.1952923461896379,0.17302449850723844,0.2808265519141842,0.14594934325280964,0.13374979739387752,0.3557130332354182,0.18246877043079773,0.1720078387961349,0.2873186453447443,0.1758887198866876,0.1644727046626152,0.30902270262346365,0.17102285585494204,0.1591953318133212,0.3216974749308766,0.537198400087416,0.32360557100945897,0.32302480390421767,0.3139852761391812,0.2663531451816783,0.2661525347295527,0.355337634298381,0.28266256140613294,0.2823849991467701,0.38527364064088504,0.292347709295484,0.29201572664127096,0.48746156440398003,0.30335352540010496,0.40253155362291587,0.3105668962858603,0.2649530439201474,0.2941832432364997,0.3478970360471705,0.27874429174142684,0.32142161467802505,0.37373372342200334,0.2862537601609416,0.3388329832163803,0.4423296434473908,0.28436890343269855,0.501607460800823,0.3069812536498959,0.26354444350012624,0.3165762487399181,0.3401781102321879,0.27481746953012187,0.3566001642400741,0.361947676556876,0.2801914535939766,0.3843362810475041
2249.629625,20.234476,0.15539150000000002,0.117094,7.6594999999999995,0.245414378192858,0.19758064856417487,0.2759728545302472,0.2645893278478806,0.2279875844722832,0.28513047284124626,0.26265658544048043,0.22232863636468103,0.2861494055703093,0.26062206631901147,0.2182978833681148,0.2858006916128869,0.20081291583373692,0.17248817919971343,0.33244793512300774,0.23864242560321916,0.21391769939294755,0.3265585063126673,0.23175763891062082,0.20533130719813203,0.3332671423964518,0.22676113869233613,0.19955676976492073,0.3359082935127816,0.1643172965764768,0.15058241877351083,0.4004800753163865,0.2138790153415031,0.20034189455864101,0.36663308180353105,0.20334948142555692,0.18929287368019043,0.3823003065437005,0.19633864515017121,0.18212615393144435,0.3901297058361201,0.5920638706330248,0.356656250091387,0.3560161677303645,0.4115800148189892,0.330413302574098,0.3300991172254372,0.4512284013993395,0.3406105293850967,0.3402181543671675,0.47773251340863654,0.34589243873668213,0.34544995226695996,0.5342649766214798,0.332479883524961,0.4411804474240086,0.40387483892950193,0.3265753676964684,0.3745410931459934,0.4372752779483872,0.3332880175355886,0.39561218887357585,0.45830570959935313,0.3359316315862633,0.40766028690885614,0.48210856869067803,0.3099423406163411,0.5467172696961978,0.3958712499691016,0.32272567984639916,0.4139068970714609,0.4230539852898519,0.3260102228419508,0.44986737831374657,0.43885358981747846,0.32611937393249374,0.4722444304726642
2249.6531875,13.811433,0.156968,0.121992,6.9952,0.29436158634991505,0.23698755375160063,0.33101486492857013,0.3347037664051014,0.2831869341819653,0.36474192845312875,0.3271108341249633,0.2731975534917194,0.35936478791742094,0.32176944831128623,0.26669253954215283,0.35520222005497004,0.24062147630708827,0.20668172737913026,0.3983514337831356,0.2964883987115856,0.2626496813009107,0.4265720363758855,0.2845071230077881,0.24994128143081878,0.4247323350092082,0.2766450324265607,0.24186642864193902,0.4220836269500227,0.19669242708651863,0.18025139192413223,0.4793859177028873,0.26126744064395474,0.24321244285844676,0.4910246235034858,0.24635842596202295,0.22833149510450743,0.49626929628421407,0.23694974771042576,0.21906689032048404,0.4971598242332999,0.690681990903307,0.41606330178169554,0.41531660301931295,0.5690356415734741,0.4267005835100438,0.4262002236156224,0.6009912249907566,0.4281046930601917,0.42753639879109784,0.6204799841635215,0.4278010553244153,0.42719276782766835,0.6207069475412016,0.3862738203927697,0.5125617078010953,0.5515766311516892,0.418020821840581,0.49780431873666825,0.5747492074665053,0.4150941617893031,0.5079047303527118,0.5875792562951071,0.41183604815775643,0.5123377744404229,0.5578212836012014,0.3586172192593747,0.6325764546710371,0.5338389734199516,0.4093980068014811,0.568548586364563,0.5486682364596707,0.4023163987453719,0.5930981548731652,0.5554198333381173,0.39629436124840944,0.6061428412664537
