top_mMD,base_mMD,thickness_m,pct_raw,components,dominant,dominant_pct,grainstone_pct,mudwack_pct,oil_show,fluorescence,vuggy,cement_contaminated,description_es,description_en
2325,2340,15,100,shale,shale,100.0,0.0,0.0,poor,True,False,False,"LUTITA GRIS CLARO, DE ASPECTO BENTONITICO, SUAVE A SEMIDURA, LIGERAMENTE CALCAREA Y ARENOSA, TRAZAS DE ARENISCA GRIS CLARO Y OSCURO DE GRANO FINO, SUBANGULOSO Y SUBREDONDEADO, REGULARMENTE CLASIFICADO Y MAL CONSOLIDADO. ESPORADICOS FRAGMENTOS DE MUDSTONE CAFE CLARO Y CREMA. POBRE IMPREGNACION DE ACEITE DE FLUORESCENCIA AMARILLO CLARO.","SHALE LIGHT GRAY, IN PART GREENISH ASPECT BENTONITE,SOFT, SLIGHTLY CALCAREOUS AND SANDLY, TRACE LIGHT GRAY AND DARK SANDSTONE OF FINE GRAIN, SUBANGLE AND SUBWEIGHED, REGULARLY CLASSIFIED AND POORLY CONSOLIDATED. SPORADICALLY FRAGMENTS OF BROWN MUDSTONE AND CREAM, POOR OIL IMPREGNATE OF YELLOW FLUORESCENCE."
2340,2345,5,90 95 5 10,shale|mudstone-wackestone,shale,92.5,0.0,7.5,poor,True,False,False,"LUTITA GRIS CLARO Y GRIS VERDOSO, BENTONITICA, SUAVE, LIGERAMENTE ARENOSA Y CALCAREA. MUDSTONE Y WACKSTONE COLOR CAFÉ CLARO CREMA, SEMICOMPACTO, CON POBRE IMPREGNACION DE ACEITE DE FLUORESCENCIA AMARILLO CLARO. ESPORADICOS FRAGMENTOS DE ARENISCA GRIS CLARO DE GRANO FINO, SUBREDONDEADO Y SUBANGULOSO. ESPORADICOS FRAGMENTOS DE BENTONITA BLANCA Y GRIS CLARO CON PIRITA DISEMINADA.","SHALE LIGHT GRAY AND GREENISH,BENTONITE,SOFT TO HALF HARD, SLIGHTLY CALCAREOUS AND SANDLY, MUDSTONE Y WACKSTONE LIGHT BROWN, SEMICOMPACT, WITH POOR OIL IMPREGNATION OF YELLOW FLUORESCENCE.SPORADICALLY FRAGMENTS OF LIGHT GRAY SANDSTONE OF FINE GRAIN,SUBANGLE AND SUBWEIGHED. SPORADICALLY FRAGMENTS LIGHT GRAY AND WHITE BENTONITE WITH PYRITE."
2345,2347,2,90 10,shale|mudstone-wackestone,shale,90.0,0.0,10.0,poor,True,False,False,"LUTITA GRIS CLARO Y GRIS VERDOSO, BENTONITICA, SUAVE, LIGERAMENTE ARENOSA Y CALCAREA. MUDSTONE Y WACKSTONE COLOR CAFÉ CLARO CREMA Y CAFE OSCURO, SEMICOMPACTO, CON POBRE IMPREGNACION DE ACEITE DE FLUORESCENCIA AMARILLO CLARO. TRAZAS DE ARENISCA GRIS CLARO Y OSCURO DE GRANO FINO, SUBREDONDEADO Y SUBANGULOSO. ESPORADICOS FRAGMENTOS DE BENTONITA BLANCA Y GRIS CLARA CON PIRITA DISEMINADA.","SHALE LIGHT GRAY AND GREENISH, BENTONITE,SOFT, SLIGHTLY CALCAREOUS AND SANDLY, MUDSTONE AND WACKSTONE LIGHT BROWN AND CREAM, SEMICOMPACT, WITH POOR OIL IMPREGNATION OF YELLOW FLUORESCENCE. TRACE LIGHT GRAY AND DARK SANDSTONE OF FINE GRAIN,SUBANGLE AND SUBWEIGHED. SPORADICALLY FRAGMENTS LIGHT GRAY AND WHITE BENTONITE WITH DISSEMINATED PYRITE."
2347,2350,3,70 30,shale|mudstone-wackestone,shale,70.0,0.0,30.0,poor,True,False,False,"LUTITA GRIS CLARO Y GRIS VERDOSO, BENTONITICA, SUAVE, LIGERAMENTE ARENOSA Y CALCAREA. MUDSTONE Y WACKSTONE COLOR CAFÉ CLARO CREMA Y CAFE OSCURO, SEMICOMPACTO, CON POBRE IMPREGNACION DE ACEITE DE FLUORESCENCIA AMARILLO CLARO. TRAZAS DE BENTONITA BLANCA Y GRIS CLARO.ESPORADICOS FRAGMENTOS  DE ARENISCA GRIS CLARO Y OSCURO DE GRANO FINO, SUBREDONDEADO Y SUBANGULOSO.","SHALE LIGHT GRAY AND GREENISH, BENTONITE,SOFT,SLIGHTLY CALCAREOUS AND SANDLY. MUDSTONE AND WACKSTONE LIGHT BROWN AND CREAM ANDE DARK BROWN, SEMICOMPACT, WITH POOR OIL IMPREGNATION OF YELLOW FLUORESCENCE. SPORADICALLY LIGHT GRAY AND DARK SANDSTONE OF FINE GRAIN,SUBANGLE AND SUBWEIGHED. TRACE OF WHITHE AND LIGHT GRAY BENTONITE. SPORADICALLY FRAGMENTS LIGHT GRAY AND DARK SANDSTONE OF FINE GRAIN,SUBANGLE AND SUBWEIGHED."
2350,2350,0,70 30,shale|mudstone-wackestone,shale,70.0,0.0,30.0,poor,True,False,False,"LUTITA GRIS CLARO Y GRIS VERDOSO, BENTONITICA, SUAVE, LIGERAMENTE ARENOSA Y CALCAREA. MUDSTONE - WACKSTONE COLOR CAFÉ CLARO,BLANCO Y CAFE OSCURO, SEMICOMPACTO, CON POBRE IMPREGNACION DE ACEITE DE FLUORESCENCIA AMARILLO CLARO. ESPORADICOS FRAGMENTOS  DE ARENISCA GRIS CLARO Y OSCURO DE GRANO FINO, SUBREDONDEADO Y SUBANGULOSO. TRAZAS DE BENTONITA BLANCA Y GRIS CLARO.","SHALE LIGHT GRAY AND GREENISH, BENTONITE,SOFT, SLIGHTLY SANDLY AND CALCAREOUS. MUDSTONE AND WACKSTONE LIGHT BROWN AND CREAM ANDE DARK BROWN, SEMICOMPACT, WITH POOR OIL IMPREGNATION OF YELLOW FLUORESCENCE. SPORADICALLY LIGHT GRAY AND DARK SANDSTONE OF FINE GRAIN,SUBANGLE AND SUBWEIGHED. TRACE OF WHITHE AND LIGHT GRAY BENTONITE. SPORADICALLY FRAGMENTS LIGHT GRAY AND DARK SANDSTONE OF FINE GRAIN,SUBANGLE AND SUBWEIGHED."
2350,2360,10,80 20,shale|mudstone-wackestone,shale,80.0,0.0,20.0,poor,True,False,False,"LUTITA GRIS CLARO Y GRIS VERDOSO, BENTONITICA, SUAVE, LIGERAMENTE ARENOSA Y CALCAREA. MUDSTONE - WACKSTONE COLOR CAFÉ CLARO,BLANCO Y CAFE OSCURO, SEMICOMPACTO, CON POBRE IMPREGNACION DE ACEITE DE FLUORESCENCIA AMARILLO CLARO. ESPORADICOS FRAGMENTOS  DE ARENISCA GRIS CLARO Y OSCURO DE GRANO FINO, SUBREDONDEADO Y SUBANGULOSO. TRAZAS DE BENTONITA BLANCA Y GRIS CLARO.","SHALE LIGHT GRAY AND GREENISH, BENTONITE,SOFT, SLIGHTLY SANDLY AND CALCAREOUS. MUDSTONE AND WACKSTONE LIGHT BROWN AND CREAM ANDE DARK BROWN, SEMICOMPACT, WITH POOR OIL IMPREGNATION OF YELLOW FLUORESCENCE. SPORADICALLY LIGHT GRAY AND DARK SANDSTONE OF FINE GRAIN,SUBANGLE AND SUBWEIGHED. TRACE OF WHITHE AND LIGHT GRAY BENTONITE. SPORADICALLY FRAGMENTS LIGHT GRAY AND DARK SANDSTONE OF FINE GRAIN,SUBANGLE AND SUBWEIGHED."
2360,2362,2,100,mudstone-wackestone,mudstone-wackestone,100.0,0.0,100.0,poor,True,False,True,"MUDSTONE - WACKSTONE, BLANCO Y CREMA, SEMICOMPACTO, CON POBRE IMPREGNACION DE ACEITE DE FLUORESCENCIA AMARILLO CLARO.   NOTA: MUESTRA CONTAMINADA CON ABUNDANTE CEMENTO.","MUDSTONE - WACKSTONE,WHITE AND CREAM, SEMICOMPACT WITH POOR OIL IMPREGNATE OF YELLOW FLUORESCENCE, NOTE: SAMPLE CONTAMINATED WITH ABUNDANT CEMENT."
2362,2363,1,100,mudstone-wackestone,mudstone-wackestone,100.0,0.0,100.0,poor,True,False,True,"MUDSTONE - WACKSTONE, BLANCO Y CREMA, SEMICOMPACTO, CON POBRE IMPREGNACION DE ACEITE DE FLUORESCENCIA AMARILLO CLARO.   NOTA: MUESTRA CONTAMINADA CON CEMENTO.","MUDSTONE - WACKSTONE,WHITE AND CREAM, SEMICOMPACT WITH POOR OIL IMPREGNATE OF YELLOW FLUORESCENCE. NOTE: SAMPLE CONTAMINATED WITH CEMENT."
2363,2375,12,100,mudstone-wackestone,mudstone-wackestone,100.0,0.0,100.0,none,False,False,True,"MUDSTONE - WACKSTONE, BLANCO Y EN PARTES CREMA, SEMICOMPACTO. NOTA: MUESTRA MUY MOLIDA Y CONTAMINADA POR CEMENTO.","MUDSTONE - WACKSTONE,WHITE AND CREAM, SEMICOMPACT. NOTE: SAMPLE VERY GROUND AND CONTAMINATED WITH CEMENT."
2375,2385,10,90 10,mudstone-wackestone|packstone,mudstone-wackestone,90.0,0.0,90.0,poor,True,True,True,"MUDSTONE - WACKSTONE BLANCO,CAFÉ CLARO Y CREMA , EN PARTE CAFÉ OSCURO, SEMICOMPACTO. PACKSTONE CAFÉ CLARO, CON POROSIDAD SECUNDARIA VUGULAR, POBRE IMPREGNACION DE ACEITE DE FLUORESCENCIA AMARILLO CLARO. TRAZAS DE PEDERNAL GRIS, OSCURO Y TRANSLUCIDO  CON  PIRITA DISEMINADA. TRAZAS DE ARENISCA GRIS CLARO DE GRANO FINO Y MEDIO SUBREDONDEADO Y SUBANGULOSO MAL CLASIFICADO Y BIEN CONSOLIDADO EN MATERIAL ARCILLO CALCAREO. NOTA: CONTAMINADA CON CEMENTO.","MUDSTONE - WACKSTONE , WHITE, LIGHT BROWN AND CREAM, IN PART DARK BROWN, SEMICOMPACT. PACKSTONE LIGHT BROWN, WITH SECONDARY VUGULAR POROSITY, WITH POOR OIL IMPREGNATE OF YELLOW FLUORESCENCE. TRACES GRAY, DARK CHERT  AND TRANSLUCENT WITH DISESEMINATED PYRITE. TRACE LIGHT GRAY AND DARK SANDSTONE OF FINE AND MEDIUM GRAIN, SUBANGLE AND SUBWEIGHED, POORLY CLASSIFIED AND WELL CONSOLIDATED IN CALCAREOUS CLAY MATERIAL. NOTE:  SAMPLE CONTAMINATED WITH CEMENT."
