month_on_production,TEC-2,TEC-6,TEC-7,TEC-9,TEC-10,avg_4_pemex_wells,ifr_workbook_average,ifr_workbook_fit,ifr_tec12_curve
1,88.06716556460297,82.90571996374713,348.7201684078235,38.06566130631192,100.91907272727272,139.43967881062136,140.49968571516374,185.05847255537333,300.151473319778
2,246.21430372703324,104.64600534056629,473.68091700687734,117.0035199644011,180.8549870967742,235.3861865097195,224.00086254110892,162.69758462335227,246.46163150573827
3,269.0403519446113,99.35782781647514,408.3993831677193,97.0996953661007,164.29186666666666,218.47431457372662,205.71983832564797,146.557773134168,212.69169524074354
4,235.00707001396802,96.00288817591884,433.23884012183805,103.22891201711705,145.92932258064516,216.86942758221048,201.9828160657684,134.2249980075499,189.0669099989737
5,212.58704068525037,95.48674361583326,424.84036721527303,94.66951472903108,137.14022903225808,206.89591656134695,189.86592658241088,124.4174177086389,171.40700460889417
6,246.00740095079203,90.33605102664586,441.94877957328237,101.61596026684958,108.67825,219.97704795439248,195.02588503018063,116.38403206638878,157.59299953801107
7,185.48945128075718,92.26084011529835,328.0098679343894,152.3379163069268,90.45164516129033,189.52451890934293,168.65529512747435,109.65230478679548,146.42400072032163
8,189.68312583145254,101.61596026684958,252.26565374182977,155.16595837572905,80.3405,174.68267455396523,155.82252630983885,103.90832658267742,137.16319146974763
9,180.67210205329172,66.33532898266616,265.00797256894265,103.55150236717053,83.23019354838709,153.89172649301776,137.94609586108086,98.93445763867422,129.33074354639112
10,178.71505392963385,59.28749790625941,240.00722043979715,115.71776699775931,69.98788333333333,148.43188481836242,134.46317198802325,94.5744958405348,122.5993305507672
11,176.67198171262845,80.97017786342617,216.4581248858923,105.80963481754497,76.60379322580644,144.97747981987297,129.4252829892317,90.71308606795041,116.73718129488806
12,157.10150047605,80.00240681326571,210.0063178848225,98.33629170797242,77.49534516129032,136.36162922052767,125.95077204308882,87.26296988435574,111.57508794388842
13,20.968372753476896,85.16385241412156,217.10330558599927,69.67951561155401,77.94026333333333,98.22876159128793,93.55259793969701,84.15677830273539,106.98631893221368
14,72.14502757267711,85.00255723909481,206.33954090588114,40.33454676835479,69.01786129032256,100.95541812150196,95.02575916386823,81.34157239136555,102.87387416744319
15,62.58252791037721,89.68011731487044,176.45692147925942,40.001203406632854,77.33856666666667,92.18019252778498,92.18019252778498,78.77510770827956,99.16211236783093
16,79.33572008982182,93.22861116545883,20.968372753476896,39.033432356472375,,58.14153409130748,58.14153409130748,76.42321475958737,95.79108434880936
17,71.93764806192844,69.33541923816362,83.21678922987014,28.667529108086875,,63.28934640951227,63.28934640951227,74.25792208908749,92.71259750101807
18,82.33581034531929,11.935842951979158,80.00240681326571,78.06686471294475,,63.08523120587723,63.08523120587723,72.25608561093458,89.8874202020593
19,80.97017786342617,95.00285809075304,98.66963506969437,106.66987575102095,,95.32813669372362,95.32813669372362,70.39837051089484,87.28325604374318
20,77.74427436289128,85.80903311422853,82.26053926364014,108.0677672679194,,88.47040350216983,88.47040350216983,68.66848343116271,84.8732496773397
21,64.3352688123345,74.19578051230287,84.00252715392898,113.87439356888224,,84.10199251186215,84.10199251186215,67.05258540735363,82.63486716734681
22,77.42168401283779,57.93277734753723,6.774397351123305,39.00117332146703,,45.28250800824134,45.28250800824134,65.5388373856124,80.54904492979247
