month,low_bpd,base_bpd,high_bpd,ifr_2020_bpd
1,100.0,180.0,300.0,300.15147331977806
2,93.8227900774901,169.15100994749577,262.9636441071292,246.4616315057383
3,88.19877095958185,159.4804601342873,235.1026110748066,212.69169524074354
4,83.06392018381392,150.80894704202456,213.2860122246407,189.06690999897367
5,78.36320695887827,142.9914737158313,195.6794593123658,171.40700460889417
6,74.04911922876076,135.90961188900906,181.13248322936488,157.59299953801104
7,70.08046461027268,129.46570779991018,168.88468968519945,146.42400072032163
8,66.42138853419894,123.578537001723,158.41209140163835,137.1631914697476
9,63.04056577555527,118.18000309211544,149.3411202145303,129.3307435463911
10,59.910531253994016,113.21259956690069,141.3978121323167,122.5993305507672
11,57.007123354854336,108.62743701130792,134.3763956810247,116.73718129488803
12,54.30901866407675,104.38269425665956,128.1191267355729,111.57508794388845
13,51.79734136096438,100.44239108394488,122.50291953332874,106.98631893221369
14,49.455333889614074,96.77540734911562,117.4302336658193,102.87387416744319
15,47.26807816727522,93.35469278815673,112.82270984076375,99.16211236783093
16,45.22225866016478,90.15662569875859,108.61662953748407,95.79108434880936
17,43.305960294769584,87.16048883607988,104.75961403380165,92.71259750101808
18,41.50849547365616,84.34803831780067,101.20818362764138,89.88742020205932
19,39.820255503808255,81.70314687393548,97.92592530219633,87.28325604374317
20,38.23258257939952,79.2115069317877,94.88209816798069,84.87324967733969
21,36.73765913335436,76.86038217013959,92.05055878896025,82.63486716734681
22,35.32841191677403,74.63839857529162,89.40892355535286,80.54904492979247
23,33.9984286084904,72.53536787594845,86.937908986685,78.59953441892316
24,32.74188511909091,70.5421376627566,84.620807173484,76.77239157804112
25,31.55348205076511,68.65046361293771,82.44306497595501,75.055574784163
26,30.428389018891032,66.85290011578627,80.39194368714138,73.43862509996241
27,29.36219574341424,65.14270628651852,78.4562416787369,71.91240966933759
28,28.350868985732223,63.513764905848475,76.62606677275917,70.46891405686124
29,27.390714546340416,61.96051226229014,74.89264818927941,69.10107288803147
30,26.478343655023064,60.477877227548845,73.24818022935051,67.80263072784012
31,25.61064318299003,59.061228180859715,71.68569158507917,66.56802702950728
32,24.78474918839032,57.70632662992049,70.19893548120747,65.3923003909384
33,23.99802337576876,56.40928656513784,68.78229685518224,64.27100841015395
34,23.248032108469054,55.1665387388219,67.43071355485256,63.20016022824965
35,22.53252766251639,53.974799188438574,66.13960913215631,62.1761594571005
36,21.849431452608243,52.83104142835423,64.90483527952404,61.19575565752189
37,21.196818996709688,51.73247182187395,63.72262232430724,60.256002897039224
